Format=7,10908,,,Left Skank,,,,,,,,,,,14140,,,Right Shank,,,,,,,,,,,15955,,,Left Thigh,,,,,,,,,,,15985,,,Right Thigh,,,,,,,,,,,16169,,,Waist,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1763459703851839,-9.057580,-0.317705,-2.831805,-0.007422,-0.001068,0.000000,,,,4636922495713148900.000000,-0.204793,0.762506,-0.264204,-0.553932,-8.934613,0.391843,-3.232549,0.000106,0.003310,0.002031,,,,4636917127004028900.000000,0.039142,-0.812769,0.089831,0.574286,-2.878777,0.099829,9.316419,0.000000,0.001946,0.005151,,,,4636916268010569700.000000,0.970149,0.033355,0.141416,-0.194164,-2.661214,0.939970,9.193853,0.004052,-0.000073,0.000000,,,,4636916590133116900.000000,0.964019,0.078140,0.126624,-0.220289,-9.228797,0.396263,-2.307199,-0.000409,0.000576,0.000576,,,,4636919489236041700.000000,-0.129311,0.758004,-0.200635,-0.607004
1763459703859651,-9.045997,-0.329289,-2.821465,-0.005259,-0.001041,0.000000,,,,4636922495713148900.000000,-0.204793,0.762507,-0.264213,-0.553926,-8.928437,0.402844,-3.211753,0.001279,0.004062,0.001279,,,,4636917127004028900.000000,0.039145,-0.812774,0.089834,0.574278,-2.860873,0.107696,9.334322,-0.001756,0.000380,0.003584,,,,4636916268010569700.000000,0.970150,0.033353,0.141417,-0.194158,-2.661214,0.940809,9.214912,0.000995,-0.001068,-0.000073,,,,4636916590133116900.000000,0.964018,0.078140,0.126627,-0.220294,-9.234420,0.397221,-2.301576,-0.001644,0.000984,0.000000,,,,4636919489236041700.000000,-0.129315,0.758008,-0.200639,-0.606998
1763459703867463,-9.057893,-0.316774,-2.880019,-0.002136,0.000000,0.000000,,,,4636922495713148900.000000,-0.204802,0.762508,-0.264230,-0.553914,-8.974851,0.405254,-3.223959,0.003310,0.002136,0.002888,,,,4636917127004028900.000000,0.039151,-0.812774,0.089846,0.574276,-2.886639,0.089795,9.318593,-0.001258,0.000878,0.003204,,,,4636916444553350100.000000,0.970151,0.033354,0.141421,-0.194153,-2.662051,0.950503,9.193850,0.000000,-0.001141,-0.000995,,,,4636916590133116900.000000,0.964016,0.078135,0.126630,-0.220303,-9.246627,0.390637,-2.306237,-0.002052,0.003612,0.000000,,,,4636919489236041700.000000,-0.129315,0.758017,-0.200642,-0.606985
1763459703875275,-9.058816,-0.292670,-2.844633,-0.002163,-0.000027,-0.000027,,,,4636922498420869100.000000,-0.204810,0.762509,-0.264247,-0.553901,-8.993243,0.429668,-3.234962,0.004378,0.002031,0.000105,,,,4636917127004028900.000000,0.039166,-0.812774,0.089852,0.574274,-2.913225,0.095487,9.334319,0.000688,0.000190,0.001448,,,,4636916482758934500.000000,0.970150,0.033361,0.141420,-0.194156,-2.673421,0.926091,9.216590,-0.000146,-0.002209,-0.000073,,,,4636916604840026100.000000,0.964015,0.078130,0.126630,-0.220308,-9.241967,0.396259,-2.313784,-0.003204,0.004849,0.000000,,,,4636919489236041700.000000,-0.129311,0.758030,-0.200644,-0.606969
1763459703883087,-9.094516,-0.280155,-2.856840,-0.003178,-0.001068,-0.001041,,,,4636922603087331300.000000,-0.204819,0.762509,-0.264258,-0.553892,-8.961437,0.450471,-3.238572,0.005341,0.001068,0.000963,,,,4636917127004028900.000000,0.039183,-0.812772,0.089863,0.574274,-2.907535,0.097659,9.318596,0.000190,0.000000,0.000190,,,,4636916482758934500.000000,0.970148,0.033365,0.141420,-0.194163,-2.673421,0.905020,9.214918,-0.002063,-0.002985,-0.000995,,,,4636916804881481700.000000,0.964015,0.078116,0.126629,-0.220316,-9.234418,0.397223,-2.307199,-0.004680,0.001321,0.000000,,,,4636919489236041700.000000,-0.129305,0.758036,-0.200641,-0.606964
1763459703890899,-9.094208,-0.256971,-2.867816,-0.002109,-0.001068,-0.000027,,,,4636922603087331300.000000,-0.204828,0.762508,-0.264274,-0.553883,-8.970035,0.441873,-3.272787,0.005130,0.000963,0.000211,,,,4636917127004028900.000000,0.039201,-0.812770,0.089871,0.574275,-2.905362,0.117727,9.314249,0.000878,-0.000878,0.000878,,,,4636916482758934500.000000,0.970148,0.033372,0.141415,-0.194169,-2.673421,0.927763,9.192175,-0.000922,-0.000073,0.000000,,,,4636916804881481700.000000,0.964013,0.078109,0.126637,-0.220320,-9.241004,0.390637,-2.295958,-0.005425,-0.002628,0.000000,,,,4636919489236041700.000000,-0.129300,0.758032,-0.200633,-0.606972
1763459703898711,-9.082002,-0.280158,-2.833036,-0.001122,-0.001068,-0.001068,,,,4636922603087331300.000000,-0.204843,0.762506,-0.264289,-0.553872,-8.949228,0.457873,-3.282590,0.002889,0.000315,0.002136,,,,4636917105864564700.000000,0.039208,-0.812766,0.089879,0.574279,-2.925427,0.112042,9.314249,0.000190,-0.000190,0.000190,,,,4636916482758934500.000000,0.970146,0.033376,0.141414,-0.194176,-2.675093,0.926927,9.193847,0.000995,-0.001068,0.000000,,,,4636916804881481700.000000,0.964012,0.078109,0.126640,-0.220325,-9.246624,0.385017,-2.288405,-0.002306,-0.004188,0.000000,,,,4636919489236041700.000000,-0.129306,0.758023,-0.200633,-0.606982
1763459703906523,-9.069796,-0.257574,-2.869045,-0.003258,-0.001095,-0.001095,,,,4636922603087331300.000000,-0.204851,0.762507,-0.264300,-0.553863,-8.960234,0.402844,-3.269181,-0.000105,0.003310,0.002136,,,,4636916912255664100.000000,0.039205,-0.812769,0.089882,0.574274,-2.909712,0.099834,9.324281,-0.000878,0.000000,0.000878,,,,4636916482758934500.000000,0.970145,0.033376,0.141414,-0.194180,-2.697003,0.915555,9.215757,0.000000,-0.001068,0.000146,,,,4636916804881481700.000000,0.964010,0.078106,0.126644,-0.220329,-9.241973,0.389668,-2.294992,0.000000,-0.007307,0.000492,,,,4636919489236041700.000000,-0.129319,0.758005,-0.200637,-0.607000
1763459703914335,-9.057893,-0.304880,-2.881557,-0.005367,-0.002136,-0.002136,,,,4636922603087331300.000000,-0.204857,0.762508,-0.264302,-0.553859,-8.960234,0.406445,-3.247169,-0.000963,0.004063,0.002346,,,,4636916912255664100.000000,0.039198,-0.812774,0.089883,0.574267,-2.895331,0.077597,9.326456,-0.001068,0.000000,0.001946,,,,4636916482758934500.000000,0.970145,0.033376,0.141414,-0.194180,-2.684796,0.914723,9.203549,0.000291,-0.001068,0.001991,,,,4636916804881481700.000000,0.964011,0.078104,0.126647,-0.220326,-9.223179,0.391607,-2.283755,0.000983,-0.009613,0.000577,,,,4636919538655926300.000000,-0.129337,0.757982,-0.200643,-0.607024
