Format=7,10908,,,Left Skank,,,,,,,,,,,14140,,,Right Shank,,,,,,,,,,,15955,,,Left Thigh,,,,,,,,,,,15985,,,Right Thigh,,,,,,,,,,,16169,,,Waist,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1763460176732552,-7.421350,0.664928,-6.054872,-0.003204,-0.001134,-0.001569,,,,4636922066216419300.000000,0.048721,0.902528,0.021823,-0.427310,-7.713043,1.854171,-5.493331,-0.000890,0.005341,-0.000297,,,,4636917019629846500.000000,0.149358,0.882038,0.072989,-0.440879,-3.020919,2.563555,8.930129,0.000072,-0.000498,0.000000,,,,4636915788461776900.000000,0.978229,0.135676,0.155493,-0.021941,-3.503525,-1.399744,8.830118,-0.004632,-0.003204,0.003559,,,,4636916268010569700.000000,0.979903,-0.073751,0.184936,0.012246,-9.458380,0.595020,-1.040772,-0.011612,0.018745,-0.006203,,,,4636919059739312100.000000,0.309675,0.680509,0.293034,-0.595936
1763460176740364,-7.409894,0.665678,-6.074306,-0.000937,-0.002136,-0.002202,,,,4636922066216419300.000000,0.048709,0.902530,0.021826,-0.427306,-7.746954,1.920631,-5.528597,0.004629,0.004569,-0.002314,,,,4636917019629846500.000000,0.149337,0.882045,0.072999,-0.440869,-3.050194,2.552176,8.917922,-0.001566,-0.001068,0.000000,,,,4636915731139657700.000000,0.978230,0.135672,0.155489,-0.021950,-3.544305,-1.391644,8.850368,-0.004627,-0.003204,0.003918,,,,4636916268010569700.000000,0.979902,-0.073769,0.184933,0.012261,-9.423332,0.548550,-1.091939,-0.009613,0.011544,-0.002930,,,,4636919059739312100.000000,0.309683,0.680516,0.293078,-0.595902
1763460176748176,-7.396941,0.684360,-6.097970,0.002202,-0.002136,-0.003204,,,,4636922066216419300.000000,0.048685,0.902533,0.021827,-0.427303,-7.728647,1.896901,-5.533346,0.001009,0.001187,-0.003204,,,,4636917019629846500.000000,0.149329,0.882045,0.073016,-0.440871,-3.059199,2.539140,8.922782,-0.004625,0.000425,0.000498,,,,4636915731139657700.000000,0.978232,0.135658,0.155490,-0.021954,-3.564562,-1.407957,8.793272,-0.002132,-0.001777,0.002845,,,,4636916268010569700.000000,0.979901,-0.073777,0.184936,0.012271,-9.411125,0.541040,-1.173476,-0.008997,0.008545,0.001411,,,,4636919059739312100.000000,0.309704,0.680522,0.293106,-0.595871
1763460176755988,-7.372526,0.695822,-6.116655,0.001504,-0.002136,-0.002638,,,,4636922066216419300.000000,0.048664,0.902535,0.021827,-0.427300,-7.653367,1.809412,-5.477058,-0.001840,0.000000,-0.000890,,,,4636917019629846500.000000,0.149335,0.882041,0.073030,-0.440874,-3.056708,2.533452,8.918755,-0.009468,0.001639,0.001566,,,,4636915731139657700.000000,0.978236,0.135625,0.155497,-0.021950,-3.515626,-1.407903,8.724136,-0.000354,-0.001782,0.000709,,,,4636916268010569700.000000,0.979900,-0.073781,0.184938,0.012270,-9.400482,0.602069,-1.191638,0.000479,0.007998,0.006614,,,,4636919059739312100.000000,0.309712,0.680544,0.293097,-0.595846
1763460176763800,-7.380493,0.689346,-6.134593,-0.002267,-0.002136,-0.003270,,,,4636922180146020400.000000,0.048656,0.902537,0.021836,-0.427297,-7.585556,1.764652,-5.439081,-0.001365,0.000000,0.000771,,,,4636917019629846500.000000,0.149342,0.882038,0.073037,-0.440876,-3.070578,2.526932,8.916259,-0.011252,0.000571,0.001639,,,,4636915731139657700.000000,0.978241,0.135586,0.155499,-0.021946,-3.426082,-1.403851,8.654952,0.000000,-0.002136,-0.000714,,,,4636916268010569700.000000,0.979900,-0.073784,0.184938,0.012264,-9.411127,0.661543,-1.122300,0.006999,-0.000273,0.009613,,,,4636919059739312100.000000,0.309719,0.680559,0.293055,-0.595846
1763460176771612,-7.404162,0.696566,-6.120897,-0.004839,-0.002703,-0.004839,,,,4636922280964784100.000000,0.048654,0.902537,0.021855,-0.427295,-7.515710,1.793119,-5.414668,0.001245,0.000771,0.002610,,,,4636917019629846500.000000,0.149343,0.882038,0.073033,-0.440876,-3.058372,2.515560,8.935820,-0.008691,0.000000,0.002063,,,,4636915731139657700.000000,0.978245,0.135557,0.155498,-0.021942,-3.369200,-1.420157,8.622481,-0.001427,-0.000710,-0.001782,,,,4636916268010569700.000000,0.979898,-0.073793,0.184943,0.012255,-9.400480,0.698161,-1.102296,-0.000409,-0.003522,0.009409,,,,4636919059739312100.000000,0.309749,0.680556,0.293027,-0.595848
1763460176779424,-7.422843,0.701555,-6.090752,-0.004208,-0.004338,-0.005341,,,,4636922280964784100.000000,0.048649,0.902535,0.021874,-0.427300,-7.512970,1.850757,-5.399068,0.004449,0.002610,0.003976,,,,4636917019629846500.000000,0.149335,0.882044,0.073021,-0.440869,-3.063222,2.508203,8.935820,-0.005414,-0.000498,0.004199,,,,4636915731139657700.000000,0.978248,0.135541,0.155494,-0.021932,-3.381496,-1.428266,8.651040,-0.003563,0.002854,-0.002136,,,,4636916268010569700.000000,0.979893,-0.073811,0.184962,0.012244,-9.411908,0.734003,-0.975813,-0.006682,0.007204,0.006477,,,,4636919059739312100.000000,0.309777,0.680568,0.293034,-0.595816
1763460176787236,-7.453728,0.682876,-6.059867,-0.006036,-0.004774,-0.005907,,,,4636922280964784100.000000,0.048649,0.902531,0.021898,-0.427306,-7.607878,1.911792,-5.439731,0.006883,0.002433,0.003502,,,,4636917019629846500.000000,0.149318,0.882051,0.073006,-0.440864,-3.053526,2.514725,8.935820,-0.002780,-0.002063,0.005838,,,,4636915731139657700.000000,0.978251,0.135536,0.155484,-0.021918,-3.434417,-1.379355,8.765078,-0.004986,0.002133,-0.000710,,,,4636916268010569700.000000,0.979889,-0.073834,0.184979,0.012241,-9.406471,0.756082,-0.976036,-0.011837,0.003884,0.007273,,,,4636919059739312100.000000,0.309824,0.680566,0.293047,-0.595787
1763460176795048,-7.464458,0.658462,-6.036192,-0.007979,-0.004839,-0.006975,,,,4636922224033926100.000000,0.048655,0.902527,0.021929,-0.427313,-7.791615,1.955202,-5.474330,0.006706,0.001365,0.002434,,,,4636917019629846500.000000,0.149300,0.882055,0.072994,-0.440863,-3.027436,2.537462,8.935820,-0.000073,-0.004199,0.006409,,,,4636915731139657700.000000,0.978253,0.135542,0.155464,-0.021905,-3.536203,-1.355022,8.870800,-0.002488,-0.000358,0.000713,,,,4636916268010569700.000000,0.979886,-0.073845,0.184986,0.012242,-9.328012,0.739983,-1.153721,-0.028976,0.015928,0.004068,,,,4636919059739312100.000000,0.309895,0.680568,0.293123,-0.595711
1763460176802860,-7.445778,0.659937,-6.011040,-0.006344,-0.005907,-0.006344,,,,4636922173590601700.000000,0.048656,0.902522,0.021954,-0.427323,-7.884601,1.947771,-5.525175,0.001784,0.001839,0.001365,,,,4636917019629846500.000000,0.149297,0.882057,0.072995,-0.440860,-3.004703,2.552188,8.935820,0.000571,-0.005341,0.005414,,,,4636915731139657700.000000,0.978256,0.135550,0.155441,-0.021896,-3.617518,-1.363172,8.939945,-0.000355,-0.001781,0.001068,,,,4636916268010569700.000000,0.979886,-0.073849,0.184988,0.012243,-9.358637,0.670631,-1.249815,-0.030365,0.046678,0.001136,,,,4636919059739312100.000000,0.309928,0.680637,0.293247,-0.595554
1763460176810672,-7.421365,0.664936,-6.013250,-0.004774,-0.004144,-0.005907,,,,4636922173590601700.000000,0.048652,0.902520,0.021976,-0.427327,-7.906999,1.967404,-5.542161,0.000000,0.000595,0.000297,,,,4636917019629846500.000000,0.149298,0.882056,0.073001,-0.440861,-2.978606,2.533457,8.913089,0.000000,-0.005341,0.003775,,,,4636915681156309000.000000,0.978259,0.135554,0.155418,-0.021894,-3.588911,-1.367229,8.976532,0.000713,-0.003562,0.000355,,,,4636916268010569700.000000,0.979887,-0.073848,0.184983,0.012240,-9.473722,0.655317,-1.321506,-0.021227,0.056661,0.002068,,,,4636919059739312100.000000,0.309927,0.680741,0.293359,-0.595380
1763460176818484,-7.403424,0.633319,-6.030457,-0.002574,-0.001570,-0.006409,,,,4636922173590601700.000000,0.048639,0.902522,0.021997,-0.427322,-7.892778,1.951170,-5.533351,0.003854,-0.002313,0.000000,,,,4636917019629846500.000000,0.149287,0.882052,0.073001,-0.440873,-2.978606,2.532614,8.904035,0.000000,-0.005838,0.003702,,,,4636915623765475300.000000,0.978262,0.135559,0.155394,-0.021892,-3.564562,-1.375377,8.968352,0.002494,-0.003560,0.000000,,,,4636916268010569700.000000,0.979888,-0.073841,0.184979,0.012236,-9.483602,0.596613,-1.358703,-0.018277,0.038945,0.001272,,,,4636919059739312100.000000,0.309937,0.680806,0.293446,-0.595258
1763460176826296,-7.404156,0.603901,-6.023988,-0.000502,-0.001068,-0.005277,,,,4636922173590601700.000000,0.048621,0.902526,0.022010,-0.427316,-7.815510,1.905741,-5.459481,0.001487,-0.003204,0.000000,,,,4636917019629846500.000000,0.149283,0.882044,0.073004,-0.440888,-2.967246,2.516419,8.946333,-0.001988,-0.005415,0.003776,,,,4636915623765475300.000000,0.978267,0.135556,0.155371,-0.021888,-3.483075,-1.371288,8.895044,0.001778,-0.003204,0.000000,,,,4636916268010569700.000000,0.979889,-0.073837,0.184975,0.012232,-9.463837,0.576073,-1.222874,-0.003459,-0.002695,0.004476,,,,4636919059739312100.000000,0.309963,0.680796,0.293439,-0.595259
1763460176834108,-7.422829,0.604630,-6.050589,0.000000,-0.002200,-0.003707,,,,4636922173590601700.000000,0.048604,0.902528,0.022016,-0.427313,-7.717863,1.892148,-5.432294,0.002312,-0.005516,0.002312,,,,4636917019629846500.000000,0.149282,0.882034,0.072996,-0.440910,-2.965549,2.495989,8.966763,-0.004769,-0.002782,0.002708,,,,4636915623765475300.000000,0.978270,0.135542,0.155359,-0.021885,-3.418043,-1.350933,8.821834,0.001781,-0.001779,0.000000,,,,4636916268010569700.000000,0.979889,-0.073833,0.184977,0.012227,-9.504935,0.612686,-1.067303,0.008883,-0.027447,0.007477,,,,4636919059739312100.000000,0.309991,0.680747,0.293365,-0.595337
1763460176841920,-7.440775,0.623303,-6.066354,0.000000,-0.003204,-0.002639,,,,4636922173590601700.000000,0.048588,0.902529,0.022019,-0.427313,-7.690664,1.900953,-5.397071,0.006287,-0.005638,0.003204,,,,4636917019629846500.000000,0.149269,0.882027,0.072978,-0.440933,-2.984285,2.496839,8.960234,-0.005838,-0.000074,0.002136,,,,4636915623765475300.000000,0.978273,0.135523,0.155358,-0.021883,-3.430305,-1.310228,8.785244,0.002849,-0.002494,-0.002851,,,,4636916196354485200.000000,0.979890,-0.073826,0.184976,0.012211,-9.428590,0.647766,-0.963612,0.013412,-0.037709,0.007274,,,,4636919059739312100.000000,0.310019,0.680680,0.293269,-0.595447
1763460176849732,-7.459447,0.615389,-6.054872,0.000000,-0.002073,-0.002136,,,,4636922230459201500.000000,0.048574,0.902531,0.022020,-0.427310,-7.637824,1.904355,-5.348238,0.008248,-0.003029,0.001663,,,,4636917019629846500.000000,0.149245,0.882024,0.072964,-0.440948,-2.990814,2.484632,8.977270,-0.006906,0.001068,0.001639,,,,4636915573816963100.000000,0.978276,0.135501,0.155362,-0.021881,-3.442488,-1.293985,8.720108,0.001066,-0.001066,-0.004273,,,,4636916160636387300.000000,0.979890,-0.073828,0.184979,0.012190,-9.314249,0.661511,-0.954489,0.006207,-0.024614,0.004138,,,,4636919059739312100.000000,0.310043,0.680630,0.293214,-0.595518
1763460176857544,-7.458003,0.598163,-6.074263,-0.001131,-0.002199,-0.002136,,,,4636922280964784100.000000,0.048563,0.902533,0.022023,-0.427306,-7.529371,1.913160,-5.308221,0.005463,-0.000595,0.000298,,,,4636917019629846500.000000,0.149228,0.882024,0.072960,-0.440955,-2.990814,2.478103,8.996857,-0.006483,0.001068,0.000571,,,,4636915516391292900.000000,0.978278,0.135479,0.155366,-0.021883,-3.352898,-1.318418,8.634660,-0.003563,0.000713,-0.003560,,,,4636916160636387300.000000,0.979886,-0.073847,0.184989,0.012175,-9.319651,0.698137,-0.987256,0.003204,0.007692,0.002001,,,,4636919059739312100.000000,0.310033,0.680650,0.293210,-0.595502
