Format=7,10908,,,Left Skank,,,,,,,,,,,14140,,,Right Shank,,,,,,,,,,,15955,,,Left Thigh,,,,,,,,,,,15985,,,Right Thigh,,,,,,,,,,,16169,,,Waist,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1763459060015743,-8.227790,-0.117601,-4.931791,-0.005732,-0.005341,0.000730,,,,4636921636719689700.000000,0.140017,0.839316,0.272937,-0.448831,-8.332090,1.009356,-4.628314,0.007815,-0.000244,0.001893,,,,4636916160636387300.000000,0.067335,0.864232,0.019955,-0.498167,-2.431105,-0.851771,9.425946,-0.001148,0.000988,-0.000988,,,,4636914872146198500.000000,0.988231,-0.044428,0.146287,0.005078,-2.673421,0.573748,9.225061,-0.002136,-0.001068,0.004026,,,,4636915838513840100.000000,0.989012,0.031812,0.143939,-0.011151,-9.416559,0.439467,-1.335258,0.008698,-0.006867,-0.000661,,,,4636918415494217700.000000,0.107803,0.727702,0.078502,-0.672805
1763459060023555,-8.223924,-0.134281,-4.927924,-0.002919,-0.005002,0.000338,,,,4636921636719689700.000000,0.140021,0.839307,0.272935,-0.448848,-8.318807,1.045977,-4.675436,0.005341,-0.000825,0.001312,,,,4636916160636387300.000000,0.067324,0.864229,0.019952,-0.498174,-2.451854,-0.843228,9.446696,-0.001068,0.000080,-0.001068,,,,4636914872146198500.000000,0.988233,-0.044429,0.146271,0.005065,-2.664952,0.573748,9.247566,-0.001395,-0.001809,0.003204,,,,4636915838513840100.000000,0.989013,0.031810,0.143934,-0.011136,-9.396797,0.447022,-1.338162,0.004833,-0.001221,-0.000407,,,,4636918415494217700.000000,0.107792,0.727720,0.078511,-0.672786
1763459060031367,-8.215583,-0.111082,-4.907984,0.002030,-0.003596,0.001745,,,,4636921602710078500.000000,0.140008,0.839305,0.272921,-0.448864,-8.334875,1.068689,-4.678217,0.003637,0.000000,0.002136,,,,4636916160636387300.000000,0.067320,0.864227,0.019949,-0.498178,-2.442396,-0.831019,9.471114,-0.000080,0.000000,-0.001068,,,,4636914872146198500.000000,0.988236,-0.044426,0.146255,0.005052,-2.639620,0.576569,9.231618,0.001068,-0.004026,0.003204,,,,4636915838513840100.000000,0.989015,0.031817,0.143921,-0.011123,-9.395047,0.451674,-1.327705,-0.000101,0.002644,0.000000,,,,4636918548389180400.000000,0.107796,0.727746,0.078532,-0.672754
1763459060039179,-8.215583,-0.057173,-4.894555,0.007085,-0.002136,0.003204,,,,4636921529345507300.000000,0.139981,0.839310,0.272894,-0.448880,-8.317109,1.038717,-4.682083,-0.003353,0.000000,0.001650,,,,4636916160636387300.000000,0.067338,0.864223,0.019962,-0.498182,-2.441481,-0.830103,9.439079,-0.001976,0.001976,-0.001068,,,,4636914872146198500.000000,0.988237,-0.044430,0.146247,0.005039,-2.654649,0.580313,9.243826,0.001068,-0.002711,0.002958,,,,4636915813697129500.000000,0.989016,0.031823,0.143914,-0.011110,-9.384593,0.451674,-1.318400,-0.002136,0.002290,0.000000,,,,4636918630242582500.000000,0.107805,0.727771,0.078559,-0.672723
1763459060046991,-8.219447,-0.037236,-4.915719,0.008545,-0.002474,0.003204,,,,4636921529345507300.000000,0.139949,0.839315,0.272864,-0.448899,-8.294386,0.995448,-4.666008,-0.008207,0.000000,0.000000,,,,4636916160636387300.000000,0.067370,0.864218,0.019990,-0.498185,-2.418904,-0.796238,9.436323,-0.002136,0.005100,-0.001068,,,,4636914872146198500.000000,0.988236,-0.044435,0.146251,0.005026,-2.667783,0.564360,9.250392,0.001068,-0.000821,0.002136,,,,4636915731139657700.000000,0.989016,0.031830,0.143913,-0.011101,-9.382840,0.451674,-1.303292,-0.002136,0.000407,0.000000,,,,4636918630242582500.000000,0.107815,0.727791,0.078585,-0.672697
1763459060054803,-8.216197,-0.016072,-4.911241,0.006854,-0.003543,0.003881,,,,4636921529345507300.000000,0.139924,0.839318,0.272834,-0.448920,-8.318799,0.982149,-4.669879,-0.010438,0.000243,0.000000,,,,4636916160636387300.000000,0.067410,0.864213,0.020022,-0.498188,-2.428355,-0.804770,9.402457,-0.004112,0.004353,-0.001068,,,,4636914872146198500.000000,0.988236,-0.044447,0.146252,0.005014,-2.649007,0.573748,9.238184,0.001315,0.000247,0.002136,,,,4636915731139657700.000000,0.989015,0.031837,0.143917,-0.011091,-9.387493,0.444122,-1.301537,-0.000815,0.000661,0.002643,,,,4636918630242582500.000000,0.107828,0.727813,0.078601,-0.672669
1763459060062615,-8.195031,-0.016688,-4.919583,0.001514,-0.003935,0.004665,,,,4636921529345507300.000000,0.139919,0.839318,0.272811,-0.448935,-8.332100,0.995451,-4.653799,-0.008155,0.001068,0.000000,,,,4636916111766222800.000000,0.067441,0.864210,0.020050,-0.498187,-2.417985,-0.794400,9.377124,-0.002297,0.004273,-0.001068,,,,4636914872146198500.000000,0.988235,-0.044453,0.146252,0.005001,-2.654645,0.576567,9.225978,0.001643,0.000821,0.002136,,,,4636915731139657700.000000,0.989014,0.031846,0.143923,-0.011082,-9.395045,0.431915,-1.321296,0.000661,0.002390,0.004933,,,,4636918497396071400.000000,0.107842,0.727840,0.078606,-0.672636
1763459060070427,-8.187930,-0.007723,-4.911861,-0.004501,-0.002529,0.003204,,,,4636921529345507300.000000,0.139930,0.839315,0.272804,-0.448940,-8.318795,0.968262,-4.663228,-0.002476,0.000825,0.000000,,,,4636915945888022500.000000,0.067454,0.864208,0.020067,-0.498189,-2.428353,-0.793481,9.352712,-0.009050,0.002297,-0.001068,,,,4636914872146198500.000000,0.988235,-0.044484,0.146245,0.004992,-2.670603,0.588774,9.213771,0.000000,0.000000,0.001643,,,,4636915731139657700.000000,0.989014,0.031848,0.143926,-0.011073,-9.392149,0.434810,-1.345710,0.002390,0.001883,0.003359,,,,4636918415494217700.000000,0.107848,0.727867,0.078611,-0.672606
1763459060078239,-8.169989,-0.032136,-4.910612,-0.011302,-0.002082,0.002867,,,,4636921563304499200.000000,0.139962,0.839310,0.272810,-0.448937,-8.340433,0.951076,-4.660452,0.001701,0.000486,0.000243,,,,4636915945888022500.000000,0.067452,0.864206,0.020075,-0.498191,-2.451847,-0.770907,9.373445,-0.006650,0.005099,-0.000081,,,,4636914872146198500.000000,0.988234,-0.044506,0.146249,0.004986,-2.664030,0.589715,9.204382,0.000000,0.000000,0.000000,,,,4636915731139657700.000000,0.989013,0.031849,0.143930,-0.011071,-9.387493,0.439467,-1.339922,0.002544,-0.000253,0.000815,,,,4636918415494217700.000000,0.107847,0.727887,0.078622,-0.672583
