Format=7,10908,,,Left Skank,,,,,,,,,,,14140,,,Right Shank,,,,,,,,,,,15955,,,Left Thigh,,,,,,,,,,,15985,,,Right Thigh,,,,,,,,,,,16169,,,Waist,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1763460753284238,-7.702871,-1.708227,-5.420897,-0.011085,-0.007145,-0.002136,,,,4636922495713148900.000000,0.135386,-0.881294,0.069670,0.447368,-8.036757,2.092402,-4.679071,0.007420,0.000693,0.001386,,,,4636917556500758500.000000,0.183882,0.855815,0.093957,-0.474280,-2.192237,1.369246,9.404796,-0.003381,0.000622,0.004895,,,,4636916590133116900.000000,0.991259,0.065462,0.114486,-0.003739,-1.834845,-1.300878,9.242584,0.003393,0.005944,-0.000603,,,,4636917234378211300.000000,0.992892,-0.063935,0.100329,0.003460,-9.471227,0.120785,-0.902489,-0.000075,0.019039,0.005341,,,,4636920018548294700.000000,0.015619,0.747844,0.008955,-0.663631
1763460753292050,-7.702871,-1.729652,-5.399472,-0.008284,-0.004747,-0.002469,,,,4636922529131885600.000000,0.135370,-0.881295,0.069652,0.447373,-8.048311,2.067339,-4.671803,0.008545,0.001761,0.003522,,,,4636917556500758500.000000,0.183859,0.855823,0.093940,-0.474275,-2.190219,1.365210,9.411908,-0.001245,-0.000446,0.003827,,,,4636916590133116900.000000,0.991258,0.065468,0.114486,-0.003727,-1.818903,-1.306192,9.239428,0.000465,0.008218,-0.002877,,,,4636917234378211300.000000,0.992888,-0.063940,0.100370,0.003440,-9.414049,0.133853,-0.926906,0.008245,0.016135,0.004310,,,,4636920026106953700.000000,0.015607,0.747892,0.008924,-0.663577
1763460753299862,-7.706669,-1.728838,-5.411677,-0.004676,-0.001068,-0.003537,,,,4636922603087331300.000000,0.135368,-0.881301,0.069638,0.447364,-8.056886,2.078892,-4.671149,0.009238,0.002136,0.004966,,,,4636917556500758500.000000,0.183837,0.855834,0.093919,-0.474269,-2.187144,1.369248,9.406814,-0.000446,-0.000622,0.002759,,,,4636916590133116900.000000,0.991258,0.065476,0.114485,-0.003719,-1.839577,-1.333757,9.221906,-0.001809,0.009613,-0.005479,,,,4636917234378211300.000000,0.992882,-0.063954,0.100415,0.003411,-9.400130,0.134281,-0.927763,0.009576,0.003656,0.001181,,,,4636920026106953700.000000,0.015582,0.747908,0.008897,-0.663560
1763460753307674,-7.722672,-1.745659,-5.412493,-0.002872,-0.000736,-0.004273,,,,4636922603087331300.000000,0.135373,-0.881307,0.069626,0.447353,-8.096481,2.095385,-4.683355,0.009613,0.001443,0.006034,,,,4636917486846326800.000000,0.183816,0.855844,0.093892,-0.474265,-2.172918,1.349928,9.404794,-0.001514,-0.000446,0.001245,,,,4636916590133116900.000000,0.991258,0.065480,0.114485,-0.003717,-1.862416,-1.334351,9.230370,-0.001999,0.009613,-0.006409,,,,4636917234378211300.000000,0.992877,-0.063969,0.100460,0.003378,-9.423256,0.193170,-0.904207,0.008583,0.009388,-0.003054,,,,4636920026106953700.000000,0.015550,0.747938,0.008886,-0.663527
1763460753315486,-7.743289,-1.741863,-5.391877,-0.001804,0.000332,-0.004273,,,,4636922603087331300.000000,0.135381,-0.881314,0.069615,0.447337,-8.125841,2.123427,-4.695561,0.008228,0.001761,0.008487,,,,4636917449126576100.000000,0.183804,0.855854,0.093860,-0.474257,-2.198381,1.332629,9.406815,-0.002582,-0.000623,0.000000,,,,4636916590133116900.000000,0.991258,0.065479,0.114485,-0.003719,-1.881512,-1.318400,9.261673,-0.002274,0.004791,-0.006409,,,,4636917234378211300.000000,0.992873,-0.063986,0.100486,0.003346,-9.388791,0.218868,-0.856249,0.005454,0.015795,-0.007326,,,,4636920026106953700.000000,0.015515,0.747984,0.008896,-0.663476
1763460753323298,-7.744111,-1.729656,-5.387260,-0.001068,0.001400,-0.004937,,,,4636922603087331300.000000,0.135393,-0.881323,0.069604,0.447318,-8.145965,2.128379,-4.715684,0.004706,0.002829,0.008228,,,,4636917449126576100.000000,0.183803,0.855864,0.093836,-0.474245,-2.213587,1.323492,9.409884,-0.003204,0.000000,0.000446,,,,4636916590133116900.000000,0.991258,0.065475,0.114487,-0.003719,-1.892148,-1.339066,9.277626,-0.006821,-0.000137,-0.007012,,,,4636917234378211300.000000,0.992870,-0.064020,0.100493,0.003315,-9.469915,0.184410,-0.889842,0.000189,0.018083,-0.005416,,,,4636920026106953700.000000,0.015501,0.748036,0.008914,-0.663417
1763460753331110,-7.719699,-1.728831,-5.407053,-0.000404,0.001804,-0.005745,,,,4636922603087331300.000000,0.135408,-0.881333,0.069592,0.447297,-8.178295,2.132005,-4.716349,0.005975,0.003897,0.007477,,,,4636917449126576100.000000,0.183796,0.855876,0.093813,-0.474230,-2.200398,1.325516,9.429207,-0.004986,0.000000,0.000623,,,,4636916590133116900.000000,0.991258,0.065465,0.114490,-0.003718,-1.933476,-1.355022,9.318955,-0.013832,-0.002274,-0.006272,,,,4636917234378211300.000000,0.992867,-0.064081,0.100492,0.003290,-9.484718,0.183111,-0.938233,-0.003090,0.021249,-0.006371,,,,4636920026106953700.000000,0.015493,0.748095,0.008943,-0.663350
1763460753338922,-7.718040,-1.741867,-5.436086,0.000405,0.000736,-0.004604,,,,4636922603087331300.000000,0.135424,-0.881339,0.069585,0.447280,-8.199084,2.144212,-4.704141,0.009555,0.004273,0.006784,,,,4636917449126576100.000000,0.183776,0.855892,0.093786,-0.474215,-2.226838,1.323490,9.436323,-0.007032,0.000000,0.000000,,,,4636916590133116900.000000,0.991259,0.065446,0.114492,-0.003718,-1.965392,-1.341247,9.371533,-0.018898,-0.003807,-0.003533,,,,4636917234378211300.000000,0.992862,-0.064161,0.100485,0.003278,-9.473378,0.194886,-0.916421,-0.000114,0.018272,-0.006409,,,,4636920026106953700.000000,0.015477,0.748147,0.008965,-0.663292
1763460753346734,-7.759283,-1.725869,-5.455875,-0.001068,-0.000995,-0.005009,,,,4636922603087331300.000000,0.135437,-0.881344,0.069573,0.447268,-8.187544,2.164334,-4.739427,0.011374,0.004273,0.005716,,,,4636917518748694500.000000,0.183747,0.855908,0.093759,-0.474202,-2.254313,1.330607,9.451592,-0.004628,0.000000,0.000891,,,,4636916590133116900.000000,0.991259,0.065438,0.114494,-0.003715,-1.958505,-1.337494,9.373720,-0.020897,-0.004875,-0.002136,,,,4636917234378211300.000000,0.992858,-0.064248,0.100474,0.003272,-9.461172,0.195318,-0.892009,0.000000,0.017128,-0.002288,,,,4636920026106953700.000000,0.015471,0.748196,0.008974,-0.663237
