Format=7,10908,,,Left Skank,,,,,,,,,,,14140,,,Right Shank,,,,,,,,,,,15955,,,Left Thigh,,,,,,,,,,,15985,,,Right Thigh,,,,,,,,,,,16169,,,Waist,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1763458661636244,-9.391432,0.398905,-1.176239,0.006409,-0.002170,0.000345,,,,4636921958842236900.000000,0.062061,0.743369,0.031354,-0.665258,-9.436323,0.091685,-1.599429,-0.008045,0.003750,-0.000545,,,,4636916482758934500.000000,0.293770,0.684274,0.339234,-0.574794,-3.664293,-0.175048,9.011136,0.003204,0.004091,-0.002136,,,,4636915409017110500.000000,0.981031,-0.005004,0.193734,-0.004622,-3.888218,0.995064,8.698255,-0.007477,0.000000,0.005341,,,,4636916160636387300.000000,0.977092,0.055600,0.204854,-0.015319,-9.474192,0.219733,0.632291,0.000000,0.002682,-0.002136,,,,4636918844990947300.000000,0.248465,0.649131,0.229972,-0.681180
1763458661644056,-9.395760,0.411111,-1.167584,0.007132,-0.005375,0.000723,,,,4636921958842236900.000000,0.062027,0.743369,0.031319,-0.665263,-9.436323,0.067530,-1.580988,-0.004841,0.003204,-0.000523,,,,4636916482758934500.000000,0.293774,0.684273,0.339250,-0.574785,-3.676500,-0.195318,9.023343,0.003567,0.003023,-0.002136,,,,4636915409017110500.000000,0.981028,-0.004989,0.193745,-0.004642,-3.894162,0.994743,8.703558,-0.009121,0.000000,0.005341,,,,4636916160636387300.000000,0.977093,0.055569,0.204862,-0.015296,-9.494866,0.197812,0.623825,0.000000,0.001177,-0.002136,,,,4636918844990947300.000000,0.248454,0.649133,0.229973,-0.681182
1763458661651868,-9.407968,0.415052,-1.201041,0.007477,-0.007856,0.003238,,,,4636921958842236900.000000,0.061998,0.743362,0.031275,-0.665275,-9.442296,0.036883,-1.568782,-0.002159,0.001636,-0.001068,,,,4636916482758934500.000000,0.293772,0.684270,0.339259,-0.574784,-3.692847,-0.197389,9.029338,0.004797,0.002136,-0.002136,,,,4636915409017110500.000000,0.981026,-0.004969,0.193754,-0.004664,-3.894162,0.995063,8.691671,-0.007393,0.000548,0.004793,,,,4636916160636387300.000000,0.977092,0.055545,0.204872,-0.015277,-9.475442,0.173400,0.622578,-0.004795,0.000109,-0.002136,,,,4636918844990947300.000000,0.248455,0.649128,0.229985,-0.681183
1763458661659680,-9.428440,0.415052,-1.187677,0.005307,-0.008545,0.004273,,,,4636921958842236900.000000,0.061979,0.743353,0.031233,-0.665289,-9.448530,0.018443,-1.574491,-0.000546,0.000523,0.000499,,,,4636916430233127900.000000,0.293770,0.684268,0.339259,-0.574786,-3.723258,-0.203385,9.009064,0.002317,0.002499,-0.002136,,,,4636915409017110500.000000,0.981025,-0.004959,0.193764,-0.004684,-3.894162,0.994745,8.697934,-0.002081,0.000520,0.003177,,,,4636916160636387300.000000,0.977090,0.055539,0.204882,-0.015267,-9.461986,0.170904,0.611619,-0.004382,0.001918,-0.002136,,,,4636918844990947300.000000,0.248454,0.649128,0.229998,-0.681179
1763458661667492,-9.428058,0.423317,-1.155381,0.002826,-0.005652,0.005719,,,,4636921958842236900.000000,0.061970,0.743352,0.031195,-0.665293,-9.448530,0.036091,-1.586962,0.004180,0.000023,0.003181,,,,4636916375384752100.000000,0.293763,0.684275,0.339241,-0.574793,-3.721189,-0.183111,9.002857,0.003385,0.004635,-0.001955,,,,4636915409017110500.000000,0.981021,-0.004944,0.193782,-0.004704,-3.887899,0.982537,8.716403,0.001096,-0.001644,0.001040,,,,4636916160636387300.000000,0.977090,0.055544,0.204884,-0.015269,-9.504567,0.203776,0.599413,-0.004273,0.009807,-0.002136,,,,4636918844990947300.000000,0.248445,0.649150,0.230018,-0.681155
1763458661675304,-9.415852,0.443787,-1.147496,0.002136,-0.003550,0.006409,,,,4636921958842236900.000000,0.061965,0.743356,0.031156,-0.665291,-9.460471,0.061037,-1.592933,0.010635,-0.002635,0.006885,,,,4636916375384752100.000000,0.293750,0.684288,0.339196,-0.574811,-3.708982,-0.176906,8.972442,0.004454,0.006590,-0.000887,,,,4636915409017110500.000000,0.981016,-0.004924,0.193807,-0.004720,-3.888215,0.976592,8.722033,0.007067,-0.003752,0.000000,,,,4636916160636387300.000000,0.977089,0.055570,0.204878,-0.015280,-9.476696,0.218483,0.598163,-0.004273,0.005888,-0.002136,,,,4636918844990947300.000000,0.248440,0.649160,0.230034,-0.681141
1763458661683116,-9.403643,0.459938,-1.139232,0.001413,-0.003928,0.007855,,,,4636921958842236900.000000,0.061966,0.743359,0.031116,-0.665289,-9.472945,0.084914,-1.605139,0.012818,-0.004273,0.010658,,,,4636916375384752100.000000,0.293742,0.684304,0.339133,-0.574832,-3.694712,-0.140291,8.970376,0.005883,0.007296,0.000000,,,,4636915409017110500.000000,0.981010,-0.004898,0.193835,-0.004735,-3.900421,0.976592,8.716086,0.011202,-0.005368,0.000000,,,,4636916160636387300.000000,0.977089,0.055612,0.204865,-0.015295,-9.472945,0.208777,0.576251,-0.002355,0.012051,-0.002136,,,,4636918844990947300.000000,0.248424,0.649189,0.230051,-0.681113
1763458661690928,-9.391437,0.455618,-1.118761,0.000345,-0.002826,0.007099,,,,4636921958842236900.000000,0.061968,0.743364,0.031080,-0.665285,-9.466976,0.097930,-1.593472,0.011773,-0.001661,0.010705,,,,4636916375384752100.000000,0.293734,0.684326,0.339076,-0.574845,-3.670297,-0.103670,8.964365,0.008545,0.005867,0.000361,,,,4636915409017110500.000000,0.981006,-0.004862,0.193858,-0.004750,-3.900111,0.982851,8.716086,0.010134,-0.005861,0.000000,,,,4636916160636387300.000000,0.977090,0.055650,0.204851,-0.015309,-9.483899,0.240389,0.573748,-0.000219,0.016652,-0.001178,,,,4636918844990947300.000000,0.248401,0.649233,0.230065,-0.681075
1763458661698740,-9.379230,0.468200,-1.110874,-0.001446,-0.002859,0.004963,,,,4636921958842236900.000000,0.061969,0.743369,0.031055,-0.665281,-9.460737,0.079484,-1.580723,0.008071,0.001590,0.010136,,,,4636916375384752100.000000,0.293729,0.684349,0.339032,-0.574844,-3.650014,-0.073244,8.990841,0.008003,0.002663,0.002136,,,,4636915409017110500.000000,0.981004,-0.004827,0.193869,-0.004757,-3.894162,0.995057,8.709828,0.009613,-0.004246,0.000000,,,,4636916160636387300.000000,0.977089,0.055686,0.204843,-0.015322,-9.496107,0.255102,0.584702,0.000000,0.010381,0.000849,,,,4636918844990947300.000000,0.248389,0.649263,0.230067,-0.681051
