Format=7,10908,,,Left Skank,,,,,,,,,,,14140,,,Right Shank,,,,,,,,,,,15955,,,Left Thigh,,,,,,,,,,,15985,,,Right Thigh,,,,,,,,,,,16169,,,Waist,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1763460103270155,-7.250127,0.701391,-6.205215,-0.001799,0.000000,0.000487,,,,4636922173590601700.000000,0.267694,0.762836,0.488515,-0.328291,-7.768772,2.233930,-5.285780,-0.000428,-0.000640,0.007690,,,,4636916697507299300.000000,-0.085730,0.791405,-0.382725,-0.468882,-3.065779,2.478103,8.883548,-0.003204,0.001219,0.000000,,,,4636915301642928100.000000,-0.976494,-0.142175,-0.140341,0.080938,-3.202000,-0.891140,8.996244,0.005287,-0.004593,-0.001068,,,,4636916053262204900.000000,0.887649,0.032894,0.167018,-0.427904,-9.430331,0.399736,-0.683615,0.010429,-0.018722,-0.001864,,,,4636919489236041700.000000,-0.199279,-0.710488,-0.190284,0.647524
1763460103277967,-7.285037,0.714671,-6.182512,-0.004516,0.000487,0.001649,,,,4636922173590601700.000000,0.267694,0.762838,0.488523,-0.328273,-7.715054,2.182669,-5.244295,0.000215,0.000000,0.005553,,,,4636916697507299300.000000,-0.085720,0.791388,-0.382748,-0.468893,-3.077987,2.478103,8.864296,-0.003204,0.002136,-0.000151,,,,4636915286498124800.000000,-0.976493,-0.142168,-0.140350,0.080946,-3.181859,-0.899686,8.951078,0.002457,-0.002083,-0.002190,,,,4636916053262204900.000000,0.887634,0.032898,0.167024,-0.427932,-9.460513,0.402844,-0.656317,0.011206,-0.009128,-0.002136,,,,4636919489236041700.000000,-0.199253,-0.710471,-0.190258,0.647557
1763460103285779,-7.283962,0.698605,-6.212493,-0.004854,0.001649,0.000000,,,,4636922173590601700.000000,0.267691,0.762839,0.488538,-0.328252,-7.688231,2.170485,-5.232089,0.002564,0.000855,0.003845,,,,4636916697507299300.000000,-0.085719,0.791375,-0.382770,-0.468898,-3.093634,2.474662,8.881664,-0.003204,0.002136,-0.001068,,,,4636915194268745700.000000,-0.976491,-0.142160,-0.140360,0.080957,-3.169652,-0.919828,8.911405,0.000694,0.000000,-0.003525,,,,4636916053262204900.000000,0.887616,0.032899,0.167040,-0.427963,-9.454751,0.384650,-0.637895,0.010954,-0.002429,-0.002136,,,,4636919329205362700.000000,-0.199223,-0.710472,-0.190239,0.647572
1763460103293591,-7.320582,0.705247,-6.255755,-0.003204,-0.000243,0.000000,,,,4636922173590601700.000000,0.267687,0.762839,0.488548,-0.328240,-7.702871,2.194897,-5.234540,0.005342,0.002136,0.003632,,,,4636916697507299300.000000,-0.085725,0.791363,-0.382797,-0.468894,-3.128536,2.450248,8.928772,-0.002753,0.001685,-0.000918,,,,4636915194268745700.000000,-0.976490,-0.142154,-0.140367,0.080969,-3.170260,-0.944848,8.915676,-0.000747,0.000000,-0.002136,,,,4636916053262204900.000000,0.887601,0.032896,0.167059,-0.427988,-9.439433,0.387527,-0.652980,0.008293,-0.001068,-0.002136,,,,4636919194469098500.000000,-0.199199,-0.710473,-0.190227,0.647581
1763460103301403,-7.346077,0.693042,-6.277385,-0.002475,-0.001311,0.000000,,,,4636922124686692400.000000,0.267683,0.762838,0.488557,-0.328233,-7.697987,2.204655,-5.234529,0.008545,0.002136,0.005127,,,,4636916697507299300.000000,-0.085739,0.791349,-0.382834,-0.468886,-3.152948,2.432711,8.960234,0.000000,-0.001068,0.000000,,,,4636915194268745700.000000,-0.976489,-0.142158,-0.140363,0.080980,-3.186132,-0.968049,8.919340,-0.002510,0.000000,-0.002510,,,,4636916053262204900.000000,0.887585,0.032887,0.167081,-0.428013,-9.445418,0.381541,-0.686486,0.008273,0.002911,-0.002136,,,,4636919167113494500.000000,-0.199172,-0.710485,-0.190218,0.647579
1763460103309215,-7.333869,0.680835,-6.286813,-0.000730,-0.002380,0.000000,,,,4636921958842236900.000000,0.267675,0.762837,0.488562,-0.328232,-7.700434,2.211987,-5.217446,0.007263,0.002564,0.005981,,,,4636916697507299300.000000,-0.085746,0.791334,-0.382872,-0.468879,-3.177359,2.453688,8.953365,0.000000,-0.000918,0.000000,,,,4636915194268745700.000000,-0.976488,-0.142163,-0.140359,0.080990,-3.203213,-0.960718,8.928485,-0.002084,0.000000,-0.002084,,,,4636916053262204900.000000,0.887570,0.032879,0.167102,-0.428037,-9.466722,0.396621,-0.695822,0.006953,0.006660,-0.002932,,,,4636919167113494500.000000,-0.199144,-0.710505,-0.190218,0.647566
1763460103317027,-7.318883,0.668628,-6.286813,-0.002718,-0.002961,0.000000,,,,4636921958842236900.000000,0.267675,0.762834,0.488569,-0.328229,-7.739500,2.253492,-5.239421,0.006195,0.002350,0.005341,,,,4636916697507299300.000000,-0.085751,0.791320,-0.382906,-0.468874,-3.189761,2.453688,8.907973,0.000000,0.000000,0.000150,,,,4636915194268745700.000000,-0.976487,-0.142167,-0.140359,0.081000,-3.252039,-0.942439,8.981579,0.000374,-0.000374,0.000000,,,,4636916053262204900.000000,0.887558,0.032880,0.167117,-0.428056,-9.482040,0.402844,-0.695822,0.006409,0.001906,-0.004000,,,,4636919167113494500.000000,-0.199119,-0.710511,-0.190219,0.647567
1763460103324839,-7.294471,0.673090,-6.278479,-0.000825,-0.001893,-0.000243,,,,4636921958842236900.000000,0.267666,0.762834,0.488575,-0.328227,-7.790764,2.282784,-5.266273,0.005768,0.001068,0.004486,,,,4636916697507299300.000000,-0.085759,0.791305,-0.382937,-0.468873,-3.139018,2.455404,8.890421,-0.000150,0.000000,0.001218,,,,4636915209360508900.000000,-0.976486,-0.142172,-0.140358,0.081005,-3.275254,-0.891739,9.017002,0.001068,-0.001068,0.000374,,,,4636916053262204900.000000,0.887547,0.032883,0.167128,-0.428074,-9.466963,0.402844,-0.723106,0.004022,-0.004775,-0.005068,,,,4636919327102676000.000000,-0.199102,-0.710498,-0.190223,0.647585
1763460103332651,-7.270059,0.723014,-6.252967,-0.000243,-0.001068,-0.001311,,,,4636921958842236900.000000,0.267653,0.762833,0.488585,-0.328225,-7.798093,2.268139,-5.278480,0.000642,0.000641,0.001923,,,,4636916697507299300.000000,-0.085756,0.791295,-0.382949,-0.468880,-3.146079,2.467611,8.911405,-0.001218,0.000150,0.002286,,,,4636915301642928100.000000,-0.976486,-0.142173,-0.140357,0.081006,-3.255110,-0.915555,9.013331,0.002188,-0.002562,0.002188,,,,4636916053262204900.000000,0.887540,0.032889,0.167133,-0.428086,-9.524383,0.393752,-0.732444,0.006387,-0.007204,-0.005341,,,,4636919381861859300.000000,-0.199080,-0.710480,-0.190220,0.647612
1763460103340463,-7.256750,0.732444,-6.262398,-0.001554,-0.002040,-0.002622,,,,4636921958842236900.000000,0.267644,0.762828,0.488600,-0.328224,-7.761473,2.231519,-5.295568,-0.004913,0.000427,-0.001281,,,,4636916697507299300.000000,-0.085742,0.791291,-0.382942,-0.468895,-3.123381,2.478103,8.909690,-0.002736,0.001068,0.003204,,,,4636915301642928100.000000,-0.976486,-0.142170,-0.140360,0.081002,-3.238636,-0.902756,9.012738,0.003526,-0.004594,0.004273,,,,4636916053262204900.000000,0.887538,0.032897,0.167128,-0.428092,-9.555282,0.408822,-0.668796,0.009864,-0.017820,-0.002954,,,,4636919381861859300.000000,-0.199062,-0.710440,-0.190194,0.647669
1763460103348275,-7.281160,0.724123,-6.251303,-0.003690,-0.004855,-0.004515,,,,4636921958842236900.000000,0.267644,0.762812,0.488619,-0.328230,-7.744374,2.199780,-5.305340,-0.008331,0.001068,-0.003631,,,,4636916697507299300.000000,-0.085720,0.791293,-0.382921,-0.468913,-3.116316,2.478103,8.899197,-0.006409,0.000918,0.003354,,,,4636915301642928100.000000,-0.976489,-0.142152,-0.140363,0.080995,-3.209955,-0.900266,8.992590,0.001390,-0.003204,0.004273,,,,4636916053262204900.000000,0.887535,0.032900,0.167131,-0.428097,-9.494754,0.415052,-0.646992,0.010681,-0.034092,-0.000545,,,,4636919381861859300.000000,-0.199060,-0.710361,-0.190146,0.647770
