Format=7,10908,,,Left Skank,,,,,,,,,,,14140,,,Right Shank,,,,,,,,,,,15955,,,Left Thigh,,,,,,,,,,,15985,,,Right Thigh,,,,,,,,,,,16169,,,Waist,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1763460677706003,-7.792083,-1.464888,-5.378777,0.006409,0.001068,-0.009203,,,,4636922710461513700.000000,-0.019624,-0.857972,-0.182237,0.479885,-8.121027,1.551789,-4.847994,-0.010156,0.000941,0.016946,,,,4636917449126576100.000000,0.027437,0.862039,-0.088617,-0.498280,-2.250941,1.481874,9.405001,-0.012540,0.007895,0.004923,,,,4636916160636387300.000000,0.967301,0.039592,0.123192,0.218139,-1.524779,-1.740128,9.289834,-0.001552,0.013786,-0.004656,,,,4636917449126576100.000000,-0.975943,0.072085,-0.094573,0.182745,-9.388149,0.059068,-1.467252,0.008832,-0.088507,-0.015965,,,,4636919918732771300.000000,-0.181986,-0.729415,-0.214997,0.623387
1763460677713815,-7.811807,-1.461130,-5.395672,0.004764,0.000410,-0.011339,,,,4636922710461513700.000000,-0.019577,-0.857970,-0.182268,0.479878,-8.145440,1.522824,-4.855445,-0.015098,0.000127,0.012945,,,,4636917449126576100.000000,0.027512,0.862032,-0.088630,-0.498286,-2.272702,1.494081,9.375286,-0.018762,0.006455,0.004691,,,,4636916160636387300.000000,0.967297,0.039529,0.123204,0.218162,-1.513718,-1.732307,9.289834,0.000100,0.012234,-0.000868,,,,4636917449126576100.000000,-0.975936,0.072078,-0.094624,0.182755,-9.318178,0.095695,-1.396228,0.014610,-0.095675,-0.012990,,,,4636919918732771300.000000,-0.181991,-0.729187,-0.214929,0.623675
1763460677721627,-7.825883,-1.467707,-5.399429,0.000739,-0.001397,-0.013146,,,,4636922710461513700.000000,-0.019541,-0.857963,-0.182313,0.479874,-8.169853,1.475449,-4.823377,-0.017760,0.002280,0.010410,,,,4636917449126576100.000000,0.027593,0.862029,-0.088629,-0.498286,-2.294992,1.468078,9.399166,-0.023035,0.000697,0.005759,,,,4636916160636387300.000000,0.967296,0.039455,0.123190,0.218190,-1.480344,-1.761293,9.309858,0.006325,0.009413,0.002820,,,,4636917331706249200.000000,-0.975936,0.072048,-0.094661,0.182751,-9.221840,0.155415,-1.264581,0.011922,-0.099165,-0.007764,,,,4636919918732771300.000000,-0.182019,-0.728953,-0.214851,0.623968
1763460677729439,-7.781750,-1.509023,-5.415392,-0.000329,-0.003122,-0.013557,,,,4636922710461513700.000000,-0.019509,-0.857953,-0.182361,0.479876,-8.194266,1.437375,-4.832676,-0.025524,0.003603,0.007604,,,,4636917449126576100.000000,0.027695,0.862029,-0.088603,-0.498285,-2.285439,1.392177,9.445876,-0.026889,-0.004876,0.006409,,,,4636916160636387300.000000,0.967297,0.039372,0.123152,0.218221,-1.446007,-1.807836,9.353153,0.021193,0.008645,0.008944,,,,4636917234378211300.000000,-0.975944,0.071960,-0.094686,0.182729,-9.216590,0.204901,-1.372873,-0.007454,-0.086198,-0.001413,,,,4636919918732771300.000000,-0.182108,-0.728742,-0.214811,0.624202
1763460677737251,-7.743249,-1.540946,-5.439805,-0.001397,-0.005341,-0.012161,,,,4636922710461513700.000000,-0.019485,-0.857939,-0.182406,0.479884,-8.203375,1.412960,-4.823379,-0.028569,0.002535,0.007079,,,,4636917449126576100.000000,0.027805,0.862027,-0.088570,-0.498289,-2.232378,1.321598,9.465512,-0.028840,-0.006224,0.005991,,,,4636916160636387300.000000,0.967299,0.039282,0.123107,0.218252,-1.427127,-1.825576,9.355266,0.041002,0.008446,0.013402,,,,4636917234378211300.000000,-0.975961,0.071794,-0.094697,0.182698,-9.262788,0.207526,-1.425635,-0.016630,-0.076357,0.003985,,,,4636919918732771300.000000,-0.182227,-0.728552,-0.214785,0.624397
1763460677745063,-7.762965,-1.578510,-5.437937,-0.002793,-0.004355,-0.010024,,,,4636922710461513700.000000,-0.019469,-0.857929,-0.182447,0.479888,-8.180419,1.357940,-4.825021,-0.027772,0.003475,0.008147,,,,4636917449126576100.000000,0.027915,0.862027,-0.088542,-0.498288,-2.172918,1.260022,9.477719,-0.026334,-0.000513,0.004505,,,,4636916160636387300.000000,0.967300,0.039196,0.123086,0.218276,-1.369345,-1.844457,9.318643,0.056626,0.006309,0.014470,,,,4636917234378211300.000000,-0.975984,0.071570,-0.094690,0.182668,-9.311618,0.230625,-1.358969,-0.006985,-0.067754,0.005283,,,,4636919918732771300.000000,-0.182314,-0.728392,-0.214738,0.624575
1763460677752875,-7.814598,-1.586962,-5.388165,-0.002959,-0.002465,-0.006575,,,,4636922710461513700.000000,-0.019458,-0.857925,-0.182477,0.479884,-8.136150,1.322956,-4.826481,-0.027102,0.006281,0.009884,,,,4636917449126576100.000000,0.028028,0.862031,-0.088520,-0.498279,-2.182464,1.240382,9.494699,-0.018254,0.005758,0.003622,,,,4636916244606214100.000000,0.967297,0.039134,0.123096,0.218295,-1.337280,-1.848852,9.288695,0.065456,0.003589,0.016706,,,,4636917234378211300.000000,-0.976011,0.071313,-0.094666,0.182632,-9.371989,0.208845,-1.331926,-0.015503,-0.062241,0.004330,,,,4636919918732771300.000000,-0.182419,-0.728238,-0.214718,0.624731
1763460677760687,-7.888787,-1.579456,-5.375010,0.000985,-0.002876,-0.001151,,,,4636922710461513700.000000,-0.019445,-0.857924,-0.182481,0.479885,-8.087320,1.333701,-4.837226,-0.024026,0.009485,0.010681,,,,4636917449126576100.000000,0.028132,0.862041,-0.088507,-0.498257,-2.202104,1.237719,9.514339,-0.009662,0.005156,0.003438,,,,4636916375384752100.000000,0.967293,0.039106,0.123111,0.218308,-1.336142,-1.816628,9.264281,0.064858,0.001552,0.016407,,,,4636917234378211300.000000,-0.976040,0.071060,-0.094635,0.182596,-9.386832,0.184433,-1.388339,-0.049363,-0.081149,0.003262,,,,4636919918732771300.000000,-0.182634,-0.728013,-0.214771,0.624912
1763460677768499,-7.926357,-1.547540,-5.379713,0.002876,-0.002136,0.002381,,,,4636922710461513700.000000,-0.019432,-0.857927,-0.182469,0.479884,-8.061444,1.365764,-4.884588,-0.015738,0.009343,0.012020,,,,4636917449126576100.000000,0.028212,0.862052,-0.088515,-0.498232,-2.209540,1.245155,9.531316,-0.003904,0.005292,0.002554,,,,4636916375384752100.000000,0.967289,0.039098,0.123131,0.218315,-1.370632,-1.741122,9.266553,0.057867,0.002236,0.013203,,,,4636917234378211300.000000,-0.976063,0.070835,-0.094611,0.182570,-9.364403,0.021482,-1.345464,-0.066424,-0.097400,0.003204,,,,4636919918732771300.000000,-0.182910,-0.727736,-0.214853,0.625126
