Format=7,10908,,,Left Skank,,,,,,,,,,,14140,,,Right Shank,,,,,,,,,,,15955,,,Left Thigh,,,,,,,,,,,15985,,,Right Thigh,,,,,,,,,,,16169,,,Waist,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1763459877311493,-8.485478,-0.946740,-4.345836,-0.007477,-0.001661,0.002136,,,,4636922495713148900.000000,0.088497,-0.851354,0.055459,0.514090,-8.166753,0.260654,-5.049842,-0.001056,0.000000,-0.008557,,,,4636916912255664100.000000,0.007762,0.872839,0.001009,-0.487946,-3.535246,-0.939970,9.028577,0.003633,0.000858,0.002136,,,,4636915945888022500.000000,0.981289,-0.043477,0.187551,0.002513,-3.752167,0.848749,8.813745,0.000000,-0.002641,0.009220,,,,4636916482758934500.000000,0.979475,0.039317,0.197486,-0.009034,-9.167760,0.549641,-2.478411,0.007639,0.005368,0.000000,,,,4636919703984406500.000000,0.091587,0.785020,0.071352,-0.608494
1763459877319305,-8.509892,-0.958947,-4.332297,-0.005108,-0.003321,0.002729,,,,4636922495713148900.000000,0.088486,-0.851353,0.055466,0.514093,-8.166753,0.297137,-5.037498,-0.003580,-0.001432,-0.011762,,,,4636916912255664100.000000,0.007751,0.872833,0.001065,-0.487955,-3.527940,-0.939970,9.026171,0.002986,0.001279,0.002136,,,,4636915945888022500.000000,0.981289,-0.043461,0.187554,0.002507,-3.755385,0.866726,8.813745,0.000000,-0.001743,0.011638,,,,4636916482758934500.000000,0.979476,0.039323,0.197484,-0.008992,-9.167760,0.561847,-2.489698,0.013993,0.006302,0.000000,,,,4636919703984406500.000000,0.091537,0.785041,0.071315,-0.608478
1763459877327117,-8.513998,-0.977924,-4.328190,-0.002020,-0.003680,0.003797,,,,4636922495713148900.000000,0.088484,-0.851350,0.055482,0.514097,-8.166753,0.313368,-5.053998,-0.011784,-0.000704,-0.014966,,,,4636916912255664100.000000,0.007762,0.872829,0.001148,-0.487963,-3.532839,-0.930170,9.023679,0.002354,0.000429,0.001708,,,,4636915945888022500.000000,0.981290,-0.043448,0.187553,0.002500,-3.752169,0.843591,8.829168,0.000000,-0.001462,0.014842,,,,4636916482758934500.000000,0.979476,0.039331,0.197483,-0.008937,-9.168372,0.573748,-2.466202,0.018212,0.002110,0.000027,,,,4636919703984406500.000000,0.091475,0.785054,0.071266,-0.608477
1763459877334929,-8.501792,-0.988800,-4.347165,0.002485,-0.003797,0.004865,,,,4636922495713148900.000000,0.088494,-0.851345,0.055511,0.514101,-8.174936,0.317392,-5.049706,-0.019966,-0.000716,-0.019602,,,,4636917056209375200.000000,0.007792,0.872825,0.001262,-0.487970,-3.530348,-0.905756,9.018863,0.006845,0.000211,0.000639,,,,4636915945888022500.000000,0.981292,-0.043418,0.187551,0.002485,-3.763092,0.822394,8.838160,-0.000675,-0.001068,0.019395,,,,4636916414945830900.000000,0.979477,0.039340,0.197482,-0.008865,-9.191872,0.573445,-2.478406,0.020454,0.001174,0.001121,,,,4636919703984406500.000000,0.091409,0.785065,0.071209,-0.608478
1763459877342741,-8.482821,-0.954969,-4.358043,0.005341,-0.004865,0.005933,,,,4636922495713148900.000000,0.088512,-0.851336,0.055549,0.514108,-8.195323,0.284667,-5.033476,-0.028874,-0.001068,-0.024226,,,,4636917127004028900.000000,0.007843,0.872819,0.001409,-0.487979,-3.515732,-0.900939,9.033479,0.009824,-0.000211,0.000000,,,,4636915945888022500.000000,0.981294,-0.043377,0.187548,0.002467,-3.772088,0.841022,8.822743,-0.003092,-0.000394,0.026084,,,,4636916375384752100.000000,0.979477,0.039345,0.197484,-0.008765,-9.180270,0.560934,-2.490007,0.026704,0.005261,0.003178,,,,4636919703984406500.000000,0.091328,0.785090,0.071131,-0.608468
1763459877350553,-8.465173,-0.941292,-4.364808,0.004157,-0.004157,0.007001,,,,4636922436212018200.000000,0.088523,-0.851329,0.055588,0.514113,-8.227916,0.235841,-5.029450,-0.034908,-0.001784,-0.026351,,,,4636917127004028900.000000,0.007911,0.872812,0.001575,-0.487990,-3.520629,-0.925350,9.038376,0.006403,0.001925,0.000429,,,,4636915945888022500.000000,0.981294,-0.043349,0.187553,0.002451,-3.779795,0.823688,8.821453,-0.006970,0.000000,0.030863,,,,4636916375384752100.000000,0.979478,0.039339,0.197486,-0.008644,-9.191872,0.537429,-2.478406,0.026730,0.001977,0.002216,,,,4636919703984406500.000000,0.091246,0.785106,0.071056,-0.608469
1763459877358365,-8.459730,-0.965707,-4.383780,0.001429,-0.001429,0.006293,,,,4636922388338966500.000000,0.088527,-0.851329,0.055620,0.514110,-8.223636,0.178831,-4.996728,-0.035601,-0.002136,-0.028135,,,,4636917127004028900.000000,0.007978,0.872804,0.001748,-0.488002,-3.542630,-0.939970,9.035892,0.000634,0.003633,0.001497,,,,4636915945888022500.000000,0.981292,-0.043342,0.187565,0.002444,-3.753467,0.782568,8.818246,-0.010568,0.000000,0.033393,,,,4636916375384752100.000000,0.979480,0.039321,0.197487,-0.008511,-9.179967,0.549030,-2.490007,0.027692,-0.004299,0.005314,,,,4636919703984406500.000000,0.091169,0.785108,0.070966,-0.608488
1763459877366177,-8.446203,-0.969828,-4.401429,0.001184,-0.002367,0.006524,,,,4636922388338966500.000000,0.088529,-0.851326,0.055652,0.514110,-8.199224,0.117799,-4.956082,-0.035249,-0.004283,-0.028840,,,,4636917127004028900.000000,0.008043,0.872792,0.001923,-0.488022,-3.574353,-0.925283,9.006583,-0.003633,0.004701,0.001280,,,,4636915945888022500.000000,0.981289,-0.043352,0.187581,0.002439,-3.720053,0.761360,8.806039,-0.011750,0.000000,0.034855,,,,4636916375384752100.000000,0.979481,0.039299,0.197489,-0.008371,-9.179967,0.538026,-2.478103,0.024384,-0.005209,0.004246,,,,4636919703984406500.000000,0.091101,0.785107,0.070887,-0.608509
1763459877373989,-8.435316,-0.964385,-4.400110,0.001545,-0.003681,0.008661,,,,4636922388338966500.000000,0.088529,-0.851321,0.055692,0.514115,-8.174812,0.073126,-4.952176,-0.032387,-0.004625,-0.028840,,,,4636917127004028900.000000,0.008098,0.872780,0.002092,-0.488043,-3.584081,-0.893558,8.989544,-0.001274,0.004484,-0.000428,,,,4636915945888022500.000000,0.981286,-0.043354,0.187595,0.002426,-3.680229,0.733743,8.801538,-0.013772,-0.001348,0.034575,,,,4636916375384752100.000000,0.979484,0.039270,0.197486,-0.008230,-9.179358,0.573748,-2.478103,0.016957,-0.000160,0.003178,,,,4636919703984406500.000000,0.091051,0.785114,0.070831,-0.608513
