Format=7,10908,,,Left Skank,,,,,,,,,,,14140,,,Right Shank,,,,,,,,,,,15955,,,Left Thigh,,,,,,,,,,,15985,,,Right Thigh,,,,,,,,,,,16169,,,Waist,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1763459164851175,-8.886990,0.297285,-3.525067,-0.034181,0.000565,-0.016274,,,,4636922280964784100.000000,0.020787,0.828801,0.019098,-0.558831,-9.006947,0.508972,-3.100680,0.007848,-0.004273,0.001951,,,,4636916590133116900.000000,0.076123,0.814246,0.056200,-0.572756,-2.084398,-1.412991,9.485152,0.000537,-0.012818,0.014686,,,,4636915409017110500.000000,0.990759,-0.079177,0.109728,0.009309,-2.325351,0.671407,9.336575,-0.005889,-0.004793,-0.000183,,,,4636916268010569700.000000,0.992162,0.035971,0.119608,-0.003807,-9.334721,0.577691,-1.670973,0.004996,0.002262,0.002859,,,,4636919274487676900.000000,0.137963,0.758677,0.116418,-0.625957
1763459164858987,-8.878370,0.231941,-3.518605,-0.032421,-0.001068,-0.017090,,,,4636922280964784100.000000,0.020841,0.828803,0.019222,-0.558822,-8.996857,0.551448,-3.102796,0.009243,-0.004088,0.001253,,,,4636916590133116900.000000,0.076098,0.814237,0.056182,-0.572774,-2.098140,-1.416059,9.485152,-0.000934,-0.012818,0.017756,,,,4636915409017110500.000000,0.990764,-0.079173,0.109684,0.009380,-2.290817,0.665145,9.324369,-0.008728,-0.002319,-0.001433,,,,4636916268010569700.000000,0.992163,0.035934,0.119609,-0.003813,-9.357694,0.561541,-1.667030,0.008797,0.003204,0.003676,,,,4636919274487676900.000000,0.137947,0.758695,0.116390,-0.625944
1763459164866799,-8.853240,0.226196,-3.527940,-0.023185,-0.000817,-0.017342,,,,4636922280964784100.000000,0.020864,0.828806,0.019327,-0.558813,-8.996857,0.567879,-3.112888,0.006553,-0.003204,0.002136,,,,4636916590133116900.000000,0.076083,0.814230,0.056168,-0.572788,-2.110346,-1.384040,9.463806,-0.002936,-0.010950,0.018159,,,,4636915127381487600.000000,0.990767,-0.079175,0.109648,0.009453,-2.274749,0.634785,9.310077,-0.009066,-0.003387,-0.003387,,,,4636916268010569700.000000,0.992165,0.035894,0.119605,-0.003828,-9.356257,0.582005,-1.672414,0.010085,0.003204,0.002011,,,,4636919274487676900.000000,0.137922,0.758712,0.116365,-0.625933
1763459164874611,-8.865446,0.219011,-3.533682,-0.009237,-0.000251,-0.018912,,,,4636922280964784100.000000,0.020839,0.828811,0.019406,-0.558803,-8.996857,0.600275,-3.110775,0.001397,-0.002835,0.002876,,,,4636916590133116900.000000,0.076087,0.814222,0.056162,-0.572799,-2.122554,-1.379437,9.439392,-0.005072,-0.009748,0.020960,,,,4636915086894563300.000000,0.990769,-0.079185,0.109617,0.009537,-2.292906,0.638957,9.296092,-0.006044,-0.003725,-0.004273,,,,4636916268010569700.000000,0.992167,0.035865,0.119600,-0.003847,-9.350871,0.604983,-1.686054,0.008420,0.002608,0.000471,,,,4636919274487676900.000000,0.137899,0.758726,0.116347,-0.625924
1763459164882423,-8.871913,0.256355,-3.555224,-0.001319,-0.001068,-0.021865,,,,4636922280964784100.000000,0.020782,0.828815,0.019478,-0.558797,-8.990519,0.608258,-3.107018,-0.003060,-0.000883,0.006039,,,,4636916590133116900.000000,0.076111,0.814218,0.056157,-0.572802,-2.134760,-1.400780,9.446994,-0.004407,-0.010547,0.019495,,,,4636915086894563300.000000,0.990771,-0.079193,0.109583,0.009615,-2.286956,0.659200,9.330627,-0.003543,-0.001616,-0.004638,,,,4636916268010569700.000000,0.992167,0.035846,0.119604,-0.003868,-9.350871,0.624009,-1.696829,0.005090,0.002733,0.000000,,,,4636919274487676900.000000,0.137885,0.758739,0.116340,-0.625914
1763459164890235,-8.862575,0.250615,-3.555951,-0.002387,-0.000817,-0.023248,,,,4636922280964784100.000000,0.020725,0.828820,0.019556,-0.558790,-8.962345,0.600274,-3.135191,-0.007846,0.000000,0.004457,,,,4636916590133116900.000000,0.076147,0.814214,0.056168,-0.572802,-2.114953,-1.425194,9.427187,-0.008941,-0.006947,0.021094,,,,4636915086894563300.000000,0.990771,-0.079218,0.109563,0.009700,-2.307199,0.661283,9.352954,0.000729,-0.004637,-0.005497,,,,4636916268010569700.000000,0.992168,0.035843,0.119595,-0.003896,-9.337232,0.634785,-1.696829,0.000818,0.005591,-0.001193,,,,4636919274487676900.000000,0.137879,0.758756,0.116347,-0.625893
1763459164898047,-8.862575,0.234810,-3.530809,-0.002451,0.000000,-0.022180,,,,4636922280964784100.000000,0.020671,0.828826,0.019631,-0.558780,-8.978774,0.610370,-3.120873,-0.010167,0.000000,0.004787,,,,4636916571566302200.000000,0.076190,0.814210,0.056184,-0.572801,-2.111881,-1.438936,9.413446,-0.010547,-0.007343,0.024164,,,,4636915086894563300.000000,0.990770,-0.079248,0.109542,0.009798,-2.309283,0.677659,9.360994,0.004455,-0.006227,-0.000886,,,,4636916268010569700.000000,0.992169,0.035856,0.119580,-0.003907,-9.333274,0.648422,-1.690011,-0.001665,0.008670,-0.001540,,,,4636919274487676900.000000,0.137879,0.758779,0.116364,-0.625862
1763459164905859,-8.853969,0.247017,-3.531541,0.001255,0.000000,-0.021112,,,,4636922280964784100.000000,0.020607,0.828832,0.019695,-0.558771,-9.006954,0.612479,-3.111227,-0.012449,-0.000369,0.002321,,,,4636916482758934500.000000,0.076236,0.814203,0.056212,-0.572802,-2.133220,-1.440474,9.401238,-0.011615,-0.006543,0.022700,,,,4636915086894563300.000000,0.990768,-0.079282,0.109524,0.009890,-2.321488,0.710111,9.348789,0.005705,-0.005159,-0.000182,,,,4636916268010569700.000000,0.992170,0.035875,0.119569,-0.003916,-9.345481,0.638746,-1.691440,-0.002136,0.010210,-0.001068,,,,4636919394424584200.000000,0.137880,0.758805,0.116381,-0.625827
1763459164913671,-8.828820,0.256355,-3.512126,0.005592,0.000251,-0.020546,,,,4636922280964784100.000000,0.020530,0.828840,0.019747,-0.558760,-8.994749,0.618362,-3.161717,-0.009944,-0.001952,0.002836,,,,4636916482758934500.000000,0.076275,0.814194,0.056232,-0.572808,-2.114959,-1.451142,9.431706,-0.010816,-0.009209,0.021498,,,,4636915274569187300.000000,0.990768,-0.079314,0.109495,0.009978,-2.331614,0.724402,9.338663,0.007295,-0.003544,-0.000704,,,,4636916268010569700.000000,0.992169,0.035900,0.119565,-0.003927,-9.357688,0.608944,-1.696829,-0.001540,0.010681,-0.000472,,,,4636919489236041700.000000,0.137881,0.758834,0.116395,-0.625790
