Format=7,10908,,,Left Skank,,,,,,,,,,,14140,,,Right Shank,,,,,,,,,,,15955,,,Left Thigh,,,,,,,,,,,15985,,,Right Thigh,,,,,,,,,,,16169,,,Waist,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1763459484687675,-9.094516,-0.390637,-2.792339,-0.010304,-0.008821,-0.000792,,,,4636922603087331300.000000,0.061196,-0.800921,0.047390,0.593747,-9.385704,0.132492,-1.930559,-0.004899,0.004116,0.001225,,,,4636916912255664100.000000,0.035576,0.773165,0.030152,-0.632488,-2.136296,2.827012,9.115527,0.006260,-0.003677,0.007179,,,,4636915623765475300.000000,0.983000,0.148261,0.107208,-0.015382,-1.966948,-0.869839,9.352428,0.001068,-0.005864,0.004273,,,,4636916375384752100.000000,0.993875,-0.042101,0.102111,0.003773,-9.393817,0.390637,-1.256481,-0.005817,-0.008983,0.001583,,,,4636919381861859300.000000,0.090246,0.755323,0.069114,-0.645419
1763459484695487,-9.094516,-0.393790,-2.772657,-0.014816,-0.010544,0.001068,,,,4636922603087331300.000000,0.061159,-0.800905,0.047366,0.593774,-9.373498,0.122074,-1.940977,-0.007763,0.002579,0.001980,,,,4636916912255664100.000000,0.035605,0.773164,0.030175,-0.632487,-2.125791,2.821613,9.129435,0.004571,-0.002434,0.009315,,,,4636915623765475300.000000,0.982998,0.148286,0.107194,-0.015359,-1.976042,-0.894256,9.359963,0.001068,-0.002273,0.004409,,,,4636916375384752100.000000,0.993875,-0.042095,0.102109,0.003788,-9.406024,0.390637,-1.277210,-0.004826,-0.003089,0.000515,,,,4636919381861859300.000000,0.090260,0.755314,0.069120,-0.645428
1763459484703299,-9.097669,-0.416628,-2.776982,-0.013748,-0.009475,0.001068,,,,4636922603087331300.000000,0.061125,-0.800891,0.047345,0.593798,-9.363078,0.123861,-1.939190,-0.002892,-0.001068,0.001225,,,,4636916912255664100.000000,0.035617,0.773155,0.030188,-0.632496,-2.113584,2.819910,9.120633,0.005192,-0.000298,0.007775,,,,4636915623765475300.000000,0.982995,0.148313,0.107188,-0.015340,-1.965392,-0.907781,9.341773,0.001204,-0.003204,0.005613,,,,4636916375384752100.000000,0.993876,-0.042089,0.102104,0.003807,-9.399265,0.390637,-1.312078,-0.006447,-0.001106,-0.001106,,,,4636919381861859300.000000,0.090274,0.755308,0.069135,-0.645430
1763459484711111,-9.117355,-0.428834,-2.736034,-0.012542,-0.008683,0.001206,,,,4636922603087331300.000000,0.061094,-0.800879,0.047327,0.593819,-9.372009,0.130709,-1.926984,-0.000599,-0.000912,0.002136,,,,4636916912255664100.000000,0.035625,0.773147,0.030193,-0.632506,-2.111881,2.840913,9.139933,0.005341,0.000000,0.009315,,,,4636915623765475300.000000,0.982992,0.148340,0.107183,-0.015315,-1.966947,-0.849854,9.361524,0.002272,-0.003477,0.007341,,,,4636916375384752100.000000,0.993877,-0.042078,0.102098,0.003833,-9.387493,0.396958,-1.293550,-0.006924,-0.000477,-0.001583,,,,4636919381861859300.000000,0.090287,0.755304,0.069153,-0.645431
1763459484718923,-9.108298,-0.442617,-2.745091,-0.010406,-0.009476,0.001998,,,,4636922616942064600.000000,0.061068,-0.800864,0.047316,0.593842,-9.424115,0.113438,-1.916562,0.002136,-0.000469,0.002293,,,,4636916912255664100.000000,0.035624,0.773140,0.030190,-0.632514,-2.101378,2.844325,9.132843,0.004422,0.000000,0.010532,,,,4636915623765475300.000000,0.982989,0.148365,0.107178,-0.015286,-1.974493,-0.817896,9.350871,0.003204,-0.005205,0.006273,,,,4636916375384752100.000000,0.993879,-0.042063,0.102085,0.003854,-9.393814,0.396523,-1.288098,-0.004197,0.006599,-0.001621,,,,4636919381861859300.000000,0.090291,0.755319,0.069166,-0.645412
1763459484726735,-9.115780,-0.460731,-2.732883,-0.007994,-0.008407,0.001206,,,,4636922710461513700.000000,0.061052,-0.800852,0.047309,0.593861,-9.420546,0.141420,-1.918347,0.001980,-0.003048,0.003048,,,,4636916912255664100.000000,0.035627,0.773127,0.030185,-0.632530,-2.078671,2.854826,9.131138,0.004273,0.000000,0.008844,,,,4636915623765475300.000000,0.982986,0.148389,0.107173,-0.015262,-1.951631,-0.819449,9.358636,0.003204,-0.004137,0.005205,,,,4636916375384752100.000000,0.993880,-0.042049,0.102076,0.003871,-9.418661,0.390637,-1.312945,-0.001030,0.011750,-0.002136,,,,4636919381861859300.000000,0.090283,0.755347,0.069175,-0.645379
1763459484734547,-9.092941,-0.437892,-2.720676,-0.003721,-0.007201,0.001861,,,,4636922710461513700.000000,0.061047,-0.800841,0.047315,0.593876,-9.401485,0.179542,-1.926985,0.001224,-0.001824,0.002292,,,,4636916912255664100.000000,0.035629,0.773116,0.030185,-0.632543,-2.075258,2.846033,9.131138,0.004273,0.000000,0.005789,,,,4636915623765475300.000000,0.982983,0.148411,0.107170,-0.015251,-1.939425,-0.827000,9.413460,0.003340,-0.002933,0.004137,,,,4636916375384752100.000000,0.993881,-0.042035,0.102071,0.003883,-9.436323,0.384318,-1.324288,-0.001106,0.011750,-0.002136,,,,4636919381861859300.000000,0.090275,0.755376,0.069184,-0.645346
1763459484742359,-9.080734,-0.428833,-2.711617,0.000138,-0.005065,0.000138,,,,4636922710461513700.000000,0.061057,-0.800835,0.047324,0.593883,-9.417261,0.156912,-1.914778,0.001824,0.000156,0.003204,,,,4636916912255664100.000000,0.035632,0.773111,0.030180,-0.632549,-2.085758,2.844325,9.131138,0.002435,0.001837,0.004422,,,,4636915623765475300.000000,0.982981,0.148426,0.107175,-0.015243,-1.930323,-0.805689,9.416351,0.004001,-0.000932,0.003204,,,,4636916375384752100.000000,0.993881,-0.042019,0.102074,0.003892,-9.423687,0.384747,-1.324717,-0.002136,0.015066,-0.002136,,,,4636919381861859300.000000,0.090269,0.755413,0.069197,-0.645302
1763459484750171,-9.076394,-0.439467,-2.722251,0.001206,-0.003067,0.001206,,,,4636922682783079400.000000,0.061069,-0.800832,0.047339,0.593883,-9.446747,0.148272,-1.906138,0.000156,0.000912,0.003516,,,,4636916912255664100.000000,0.035640,0.773108,0.030179,-0.632553,-2.087466,2.854824,9.120638,0.001218,0.002136,0.005191,,,,4636915623765475300.000000,0.982979,0.148436,0.107181,-0.015231,-1.940977,-0.808789,9.361528,0.001865,-0.000136,0.002933,,,,4636916402654386200.000000,0.993881,-0.042011,0.102080,0.003900,-9.430859,0.390637,-1.362192,0.000075,0.016500,-0.001584,,,,4636919381861859300.000000,0.090257,0.755454,0.069203,-0.645255
1763459484757983,-9.120502,-0.433178,-2.722251,0.002549,-0.002411,0.002136,,,,4636922495713148900.000000,0.061082,-0.800831,0.047361,0.593882,-9.436323,0.160478,-1.921907,0.000912,0.000000,0.005341,,,,4636916912255664100.000000,0.035651,0.773102,0.030171,-0.632559,-2.066470,2.856532,9.129428,0.001068,0.001218,0.003504,,,,4636915623765475300.000000,0.982977,0.148445,0.107184,-0.015226,-1.940977,-0.822354,9.350871,0.000000,-0.001475,0.000933,,,,4636916590133116900.000000,0.993881,-0.042011,0.102081,0.003901,-9.429584,0.390637,-1.379013,0.001031,0.010533,-0.001621,,,,4636919381861859300.000000,0.090244,0.755480,0.069205,-0.645226
1763459484765795,-9.131138,-0.392209,-2.719108,0.005066,-0.004135,0.001999,,,,4636922495713148900.000000,0.061104,-0.800825,0.047388,0.593885,-9.430979,0.170904,-1.953184,0.001091,0.000156,0.005185,,,,4636916912255664100.000000,0.035661,0.773097,0.030162,-0.632565,-2.073549,2.867030,9.120639,0.001068,0.001068,0.002286,,,,4636915623765475300.000000,0.982975,0.148454,0.107188,-0.015226,-1.940977,-0.767518,9.357065,0.000678,-0.004273,-0.000542,,,,4636916590133116900.000000,0.993882,-0.042010,0.102070,0.003897,-9.405593,0.390637,-1.367229,-0.000553,0.008619,-0.002136,,,,4636919381861859300.000000,0.090235,0.755501,0.069212,-0.645202
1763459484773607,-9.129569,-0.404413,-2.704113,0.002655,-0.002930,0.001205,,,,4636922495713148900.000000,0.061120,-0.800823,0.047407,0.593885,-9.403260,0.170904,-1.944285,0.007789,0.001224,0.004273,,,,4636916912255664100.000000,0.035648,0.773096,0.030140,-0.632569,-2.085755,2.889733,9.108434,0.001068,-0.001687,0.002136,,,,4636915623765475300.000000,0.982975,0.148462,0.107181,-0.015228,-1.940977,-0.758407,9.395055,0.005205,-0.003731,-0.004137,,,,4636916590133116900.000000,0.993884,-0.041992,0.102061,0.003876,-9.418642,0.396951,-1.373543,0.000589,0.012891,-0.002136,,,,4636919381861859300.000000,0.090222,0.755533,0.069217,-0.645166
1763459484781419,-9.115790,-0.411912,-2.746666,-0.001343,-0.001343,0.002411,,,,4636922495713148900.000000,0.061120,-0.800825,0.047420,0.593881,-9.416996,0.170904,-1.897487,0.009458,0.001825,0.004273,,,,4636916912255664100.000000,0.035631,0.773096,0.030113,-0.632571,-2.118955,2.882658,9.096227,0.001068,-0.001218,0.000299,,,,4636915623765475300.000000,0.982974,0.148470,0.107177,-0.015237,-1.940977,-0.776801,9.359984,0.003460,-0.000135,-0.003475,,,,4636916590133116900.000000,0.993884,-0.041980,0.102066,0.003859,-9.436323,0.396531,-1.366810,0.004346,0.012192,-0.002136,,,,4636919381861859300.000000,0.090198,0.755564,0.069212,-0.645133
