Format=7,10908,,,Left Skank,,,,,,,,,,,14140,,,Right Shank,,,,,,,,,,,15955,,,Left Thigh,,,,,,,,,,,15985,,,Right Thigh,,,,,,,,,,,16169,,,Waist,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1763460489122813,-8.524530,-0.353094,-4.317658,-0.007148,-0.003124,-0.001807,,,,4636922280964784100.000000,0.035108,-0.850134,0.022505,0.524913,-8.190708,-0.342267,-4.942161,0.002297,0.000000,0.000040,,,,4636917019629846500.000000,0.040141,-0.869248,0.025066,0.492107,-2.710043,-1.862392,9.158986,-0.003972,-0.000601,0.002136,,,,4636915945888022500.000000,0.985200,-0.098601,0.139776,0.011062,-2.844325,0.027056,9.143345,0.000116,-0.002858,0.000953,,,,4636916482758934500.000000,0.988804,-0.004678,0.149130,0.002097,-9.521774,0.390637,0.156742,-0.004305,0.016642,-0.004721,,,,4636919381861859300.000000,0.594827,0.409864,0.564639,-0.399219
1763460489130625,-8.529212,-0.350252,-4.312976,-0.008216,-0.003614,-0.000658,,,,4636922280964784100.000000,0.035092,-0.850133,0.022493,0.524915,-8.179421,-0.330061,-4.943998,0.000081,0.002056,0.000000,,,,4636917019629846500.000000,0.040140,-0.869250,0.025059,0.492103,-2.718818,-1.873074,9.155553,-0.002737,-0.000768,0.002136,,,,4636915945888022500.000000,0.985199,-0.098606,0.139774,0.011061,-2.844325,0.024415,9.176001,-0.005715,-0.002252,0.001068,,,,4636916482758934500.000000,0.988804,-0.004701,0.149130,0.002101,-9.528853,0.390637,0.114995,-0.010852,0.014442,-0.002275,,,,4636919381861859300.000000,0.594803,0.409860,0.564698,-0.399175
1763460489138437,-8.549862,-0.370902,-4.309213,-0.010023,-0.005011,-0.001478,,,,4636922280964784100.000000,0.035071,-0.850130,0.022475,0.524923,-8.202450,-0.376580,-4.967488,0.000000,0.001109,0.000000,,,,4636917019629846500.000000,0.040138,-0.869251,0.025051,0.492102,-2.704705,-1.862394,9.164326,-0.001369,-0.001836,0.001369,,,,4636915945888022500.000000,0.985200,-0.098606,0.139767,0.011055,-2.866096,0.013529,9.179967,-0.005456,-0.004041,0.002973,,,,4636916482758934500.000000,0.988805,-0.004722,0.149124,0.002112,-9.542650,0.390637,0.094120,-0.014196,0.004721,0.001239,,,,4636919381861859300.000000,0.594811,0.409841,0.564734,-0.399131
1763460489146249,-8.540504,-0.378430,-4.317656,-0.009204,-0.005341,-0.002136,,,,4636922280964784100.000000,0.035055,-0.850126,0.022456,0.524931,-8.215120,-0.366685,-4.991903,-0.002055,0.000040,0.000000,,,,4636917019629846500.000000,0.040130,-0.869250,0.025039,0.492105,-2.706608,-1.881840,9.167760,-0.002603,-0.000601,0.001836,,,,4636915945888022500.000000,0.985200,-0.098611,0.139765,0.011052,-2.879625,0.012207,9.179967,-0.004388,-0.006178,0.005109,,,,4636916482758934500.000000,0.988807,-0.004738,0.149109,0.002130,-9.537520,0.390637,0.092528,-0.013406,0.004133,0.003963,,,,4636919381861859300.000000,0.594823,0.409829,0.564763,-0.399084
1763460489154061,-8.541417,-0.395313,-4.321421,-0.006329,-0.004602,-0.002136,,,,4636922280964784100.000000,0.035048,-0.850123,0.022444,0.524936,-8.250813,-0.377965,-4.969341,-0.003164,0.000000,-0.003083,,,,4636917019629846500.000000,0.040124,-0.869250,0.025015,0.492107,-2.701272,-1.892148,9.176531,-0.002437,0.000000,0.002904,,,,4636915945888022500.000000,0.985200,-0.098615,0.139765,0.011053,-2.880947,0.001323,9.201735,-0.002368,-0.003552,0.005341,,,,4636916482758934500.000000,0.988808,-0.004745,0.149105,0.002149,-9.549728,0.390637,0.109867,-0.007446,0.006409,0.003514,,,,4636919381861859300.000000,0.594820,0.409834,0.564789,-0.399048
1763460489161873,-8.536741,-0.402844,-4.304538,-0.003863,-0.005011,-0.000659,,,,4636922280964784100.000000,0.035047,-0.850119,0.022441,0.524943,-8.205231,-0.437146,-4.968413,-0.000122,-0.001028,-0.004232,,,,4636917019629846500.000000,0.040130,-0.869247,0.024992,0.492113,-2.689065,-1.892148,9.171196,-0.002136,-0.002302,0.003204,,,,4636915945888022500.000000,0.985201,-0.098617,0.139757,0.011056,-2.870063,0.032652,9.204382,-0.001184,-0.005109,0.004388,,,,4636916482758934500.000000,0.988809,-0.004749,0.149095,0.002163,-9.554860,0.387101,0.106330,0.000030,0.003315,0.003963,,,,4636919381861859300.000000,0.594812,0.409852,0.564795,-0.399031
1763460489169685,-8.532975,-0.394405,-4.313884,-0.001728,-0.006818,0.000000,,,,4636922206734514200.000000,0.035051,-0.850111,0.022444,0.524956,-8.226859,-0.439467,-4.933188,0.001027,-0.002096,-0.004273,,,,4636917019629846500.000000,0.040141,-0.869242,0.024972,0.492122,-2.685629,-1.892148,9.158991,-0.002904,-0.002437,0.003204,,,,4636916023017698300.000000,0.985201,-0.098622,0.139748,0.011059,-2.846975,0.003975,9.171735,-0.000116,-0.002484,0.003320,,,,4636916482758934500.000000,0.988809,-0.004749,0.149094,0.002172,-9.535582,0.374894,0.087052,0.008744,-0.008604,0.002276,,,,4636919412962304000.000000,0.594815,0.409868,0.564763,-0.399057
1763460489177497,-8.541413,-0.382199,-4.304544,0.001147,-0.006739,0.000000,,,,4636922173590601700.000000,0.035065,-0.850103,0.022454,0.524968,-8.192565,-0.439467,-4.884824,0.004150,-0.002136,-0.004273,,,,4636917019629846500.000000,0.040162,-0.869236,0.024957,0.492131,-2.685629,-1.874611,9.181857,-0.000903,-0.002136,0.002437,,,,4636916053262204900.000000,0.985203,-0.098620,0.139741,0.011057,-2.855206,0.000000,9.135117,-0.000952,0.001672,0.003204,,,,4636916482758934500.000000,0.988807,-0.004753,0.149110,0.002181,-9.509567,0.369757,0.082245,0.019255,-0.018608,-0.000309,,,,4636919489236041700.000000,0.594818,0.409887,0.564695,-0.399129
1763460489185309,-8.536745,-0.353118,-4.288569,0.001398,-0.006409,0.000000,,,,4636922173590601700.000000,0.035079,-0.850095,0.022464,0.524979,-8.155943,-0.439467,-4.906445,0.004273,-0.003164,-0.004273,,,,4636917019629846500.000000,0.040184,-0.869228,0.024942,0.492144,-2.668097,-1.867733,9.183409,0.001534,-0.002136,0.000602,,,,4636916053262204900.000000,0.985205,-0.098610,0.139732,0.011048,-2.856532,-0.032642,9.109376,-0.005828,0.002136,0.003204,,,,4636916482758934500.000000,0.988804,-0.004775,0.149127,0.002193,-9.506033,0.381964,0.148418,0.023949,-0.014616,-0.001377,,,,4636919489236041700.000000,0.594804,0.409921,0.564631,-0.399206
