Format=7,10908,,,Left Skank,,,,,,,,,,,14140,,,Right Shank,,,,,,,,,,,15955,,,Left Thigh,,,,,,,,,,,15985,,,Right Thigh,,,,,,,,,,,16169,,,Waist,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1763459448224729,-9.130025,-0.669738,-3.231215,0.006808,-0.007247,0.029908,,,,4636922388338966500.000000,0.056526,-0.811759,-0.001880,0.581247,-9.101097,0.062415,-2.380444,0.056974,-0.013719,-0.026871,,,,4636916912255664100.000000,0.010121,-0.787444,0.042182,0.614858,-2.221747,2.635099,9.266694,0.025524,-0.033168,0.004198,,,,4636915623765475300.000000,0.984528,0.131148,0.115910,-0.008396,-1.959359,-0.790678,9.259244,-0.005366,0.001621,0.032855,,,,4636916590133116900.000000,0.988835,-0.075994,0.117055,0.052237,-9.461613,0.398484,-0.227580,-0.047150,-0.009003,-0.001373,,,,4636919274487676900.000000,0.086965,0.701865,0.072088,-0.703296
1763459448232541,-9.025988,-0.564731,-3.176561,-0.025089,-0.008217,0.030746,,,,4636922388338966500.000000,0.056383,-0.811753,-0.001846,0.581270,-9.132092,-0.003291,-2.383734,0.035407,-0.006037,-0.034264,,,,4636916912255664100.000000,0.010322,-0.787440,0.042177,0.614860,-2.173774,2.684772,9.205452,0.037179,-0.028915,0.009520,,,,4636915623765475300.000000,0.984522,0.131288,0.115798,-0.008389,-1.977599,-0.854518,9.241004,-0.013100,0.005059,0.035519,,,,4636916590133116900.000000,0.988821,-0.076014,0.117088,0.052400,-9.448530,0.402844,-0.231941,-0.052949,-0.004044,-0.006255,,,,4636919274487676900.000000,0.087089,0.701839,0.072219,-0.703293
1763459448240353,-8.903922,-0.608835,-3.133561,-0.048356,-0.004552,0.032275,,,,4636922388338966500.000000,0.056163,-0.811760,-0.001861,0.581282,-9.187499,-0.012207,-2.392651,0.015318,-0.001848,-0.038249,,,,4636916912255664100.000000,0.010469,-0.787449,0.042113,0.614851,-2.088965,2.685629,9.132422,0.042632,-0.024642,0.011712,,,,4636915623765475300.000000,0.984512,0.131449,0.115700,-0.008373,-1.983768,-0.848350,9.247173,-0.018979,0.000798,0.036047,,,,4636916590133116900.000000,0.988807,-0.076055,0.117103,0.052570,-9.440685,0.402844,-0.279011,-0.053103,-0.001450,-0.009918,,,,4636919274487676900.000000,0.087202,0.701820,0.072361,-0.703284
1763459448248165,-8.791415,-0.727170,-3.069332,-0.068410,-0.005062,0.027675,,,,4636922388338966500.000000,0.055889,-0.811770,-0.001935,0.581294,-9.260745,-0.018788,-2.392651,-0.005386,0.000083,-0.041165,,,,4636916912255664100.000000,0.010560,-0.787463,0.041989,0.614840,-2.039493,2.793569,9.035191,0.040627,-0.011974,0.018046,,,,4636915623765475300.000000,0.984498,0.131606,0.115649,-0.008325,-2.008180,-0.839353,9.274668,-0.024837,0.001349,0.034170,,,,4636916590133116900.000000,0.988791,-0.076120,0.117119,0.052735,-9.412786,0.402844,-0.336567,-0.053712,-0.002441,-0.009309,,,,4636919274487676900.000000,0.087319,0.701798,0.072503,-0.703277
1763459448255977,-8.753799,-0.803591,-3.008852,-0.068776,-0.004273,0.018294,,,,4636922388338966500.000000,0.055636,-0.811781,-0.002039,0.581302,-9.317537,-0.033334,-2.395939,-0.019967,0.004643,-0.042438,,,,4636916912255664100.000000,0.010608,-0.787489,0.041827,0.614817,-2.074612,2.891430,9.009495,0.038491,-0.009651,0.024454,,,,4636915623765475300.000000,0.984484,0.131758,0.115603,-0.008251,-2.032594,-0.894470,9.305124,-0.028333,0.005341,0.030707,,,,4636916590133116900.000000,0.988773,-0.076201,0.117148,0.052887,-9.399700,0.402844,-0.346171,-0.057907,-0.000459,-0.007172,,,,4636919274487676900.000000,0.087452,0.701780,0.072652,-0.703263
1763459448263789,-8.838707,-0.857160,-2.984437,-0.053351,-0.004552,0.006823,,,,4636922388338966500.000000,0.055457,-0.811789,-0.002145,0.581307,-9.326456,-0.027703,-2.404858,-0.029786,0.008545,-0.041370,,,,4636916912255664100.000000,0.010623,-0.787524,0.041645,0.614784,-2.111234,2.881163,9.069023,0.031108,-0.012761,0.027715,,,,4636915623765475300.000000,0.984475,0.131883,0.115543,-0.008162,-2.057008,-0.995084,9.311167,-0.039553,0.004801,0.029099,,,,4636916590133116900.000000,0.988753,-0.076326,0.117172,0.053038,-9.423229,0.395001,-0.302593,-0.061875,0.006558,-0.003664,,,,4636919274487676900.000000,0.087604,0.701782,0.072804,-0.703227
1763459448271601,-8.890714,-0.817358,-2.988703,-0.027584,-0.003947,-0.003577,,,,4636922388338966500.000000,0.055384,-0.811793,-0.002226,0.581309,-9.329743,-0.036622,-2.404858,-0.035249,0.008545,-0.040014,,,,4636916912255664100.000000,0.010618,-0.787559,0.041454,0.614751,-2.135861,2.904928,9.094081,0.023632,-0.013867,0.025674,,,,4636915623765475300.000000,0.984470,0.131978,0.115481,-0.008079,-2.084505,-1.080660,9.317453,-0.053450,0.003474,0.027243,,,,4636916590133116900.000000,0.988729,-0.076505,0.117188,0.053189,-9.459852,0.390637,-0.257241,-0.065079,0.011672,-0.000078,,,,4636919274487676900.000000,0.087773,0.701797,0.072956,-0.703174
1763459448279413,-8.951749,-0.784460,-3.055037,-0.014675,0.000000,-0.012075,,,,4636922388338966500.000000,0.055371,-0.811802,-0.002303,0.581297,-9.338663,-0.039908,-2.408145,-0.033524,0.008833,-0.037878,,,,4636916912255664100.000000,0.010613,-0.787595,0.041273,0.614718,-2.136296,2.857407,9.106504,0.014058,-0.013886,0.022489,,,,4636915623765475300.000000,0.984470,0.132035,0.115420,-0.008003,-2.118042,-1.178072,9.369239,-0.067842,0.005081,0.028840,,,,4636916590133116900.000000,0.988700,-0.076739,0.117207,0.053352,-9.472945,0.398479,-0.275516,-0.065539,0.014190,0.000382,,,,4636919274487676900.000000,0.087943,0.701820,0.073109,-0.703115
1763459448287225,-9.012780,-0.761634,-3.064058,-0.011935,0.000557,-0.016301,,,,4636922388338966500.000000,0.055376,-0.811812,-0.002387,0.581282,-9.338663,-0.052115,-2.417066,-0.027690,0.010476,-0.034879,,,,4636916912255664100.000000,0.010619,-0.787634,0.041116,0.614679,-2.160273,2.784601,9.154678,0.004445,-0.015984,0.020333,,,,4636915623765475300.000000,0.984476,0.132054,0.115353,-0.007933,-2.133215,-1.196326,9.378251,-0.068321,0.007477,0.028840,,,,4636916590133116900.000000,0.988669,-0.076976,0.117236,0.053514,-9.480786,0.387162,-0.261612,-0.064471,0.014954,0.000686,,,,4636919412430238700.000000,0.088112,0.701845,0.073259,-0.703053
